model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -4.109375, ""silent"": -2.986328125}","{""conversation"": 0.2454465779445666, ""silent"": 0.754553507440871}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -2.16015625, ""secret"": -3.12109375}","{""food"": 0.7233094759829314, ""secret"": 0.2766905337063746}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -2.828125, ""carpentry"": -0.9152984619140625}","{""accuracy"": 0.12866363010610338, ""carpentry"": 0.8713363590271399}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -0.7222900390625, ""location"": -1.9853515625}","{""indecision"": 0.7795526647061498, ""location"": 0.22044731999232625}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -2.2421875, ""agreed"": -4.375, ""disagree"": -3.375, ""disagreed"": -3.9961751302083335}","{""agree"": 0.6196892832127767, ""agreed"": 0.07343536975380723, ""disagree"": 0.19961803116794516, ""disagreed"": 0.10725730266155646}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -3.185546875, ""secret"": -1.966796875}","{""animal"": 0.22815650061947537, ""secret"": 0.7718434926244166}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -2.21875, ""awake"": -2.609375}","{""asleep"": 0.5964331434971528, ""awake"": 0.4035668518628089}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -4.018961588541667, ""conflict"": -3.501953125, ""together"": -5.8359375, ""working"": -4.37890625}","{""collaborating"": 0.2827067880348826, ""conflict"": 0.47410014722796606, ""together"": 0.04594450271685431, ""working"": 0.19724871703574104}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -3.26171875, ""unharmed"": -0.9043709437052408}","{""hurt"": 0.08648350386745059, ""unharmed"": 0.9135164797070581}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -2.140625, ""wet"": -1.2646484375}","{""dry"": 0.2940122139810168, ""wet"": 0.7059877408651866}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,10,platonic,True,"{""platonic"": -1.114903450012207, ""romantic"": -4.17578125}","{""platonic"": 0.955249871044268, ""romantic"": 0.04475016587161963}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -4.0234375, ""yes"": -2.435546875}","{""no"": 0.1696809009520521, ""yes"": 0.8303192330321129}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,12,good,False,"{""bad"": -2.947265625, ""good"": -2.931640625}","{""bad"": 0.496093828372027, ""good"": 0.5039061694128829}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -3.623046875, ""sportsman"": -1.805999755859375}","{""career"": 0.13978857345446916, ""sportsman"": 0.8602114323951642}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,14,reality,False,"{""object"": -5.27734375, ""reality"": -3.376953125}","{""object"": 0.13006427914822455, ""reality"": 0.8699357934032795}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,15,object,True,"{""object"": -3.056640625, ""success"": -3.455078125}","{""object"": 0.5983122228382571, ""success"": 0.401687823895167}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,16,yes,False,"{""no"": -4.08203125, ""yes"": -2.607421875}","{""no"": 0.1862430151961228, ""yes"": 0.8137569459807168}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,17,yes,False,"{""no"": -3.572265625, ""yes"": -3.322265625}","{""no"": 0.43782350042481233, ""yes"": 0.5621765025686553}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,18,yes,False,"{""no"": -4.22265625, ""yes"": -2.658203125}","{""no"": 0.17300858151641316, ""yes"": 0.8269914218918503}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,19,handyman,False,"{""handyman"": -2.0314788818359375, ""owner"": -2.62109375}","{""handyman"": 0.6432767588774145, ""owner"": 0.35672321809687585}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,20,yes,False,"{""no"": -4.0625, ""yes"": -3.654296875}","{""no"": 0.3993430657045248, ""yes"": 0.6006569580240458}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,21,no,True,"{""disputed"": -5.0274658203125, ""no"": -3.328125, ""yes"": -3.625}","{""disputed"": 0.09491672017231036, ""no"": 0.5192267562561479, ""yes"": 0.38585656135003304}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,22,yes,False,"{""no"": -2.546875, ""uncertain"": -5.042694091796875, ""yes"": -2.4140625}","{""no"": 0.44954634801573884, ""uncertain"": 0.037055618481371545, ""yes"": 0.5133980441122272}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,23,yes,False,"{""no"": -3.505859375, ""yes"": -2.865234375}","{""no"": 0.3451052914367099, ""yes"": 0.6548947679041324}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,24,no,True,"{""no"": -2.767578125, ""yes"": -3.103515625}","{""no"": 0.5832033352502285, ""yes"": 0.416796627733996}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,25,yes,True,"{""no"": -3.16015625, ""yes"": -2.94140625}","{""no"": 0.4455295488668105, ""yes"": 0.5544704821687028}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,26,yes,True,"{""no"": -5.9296875, ""yes"": -5.26953125}","{""no"": 0.34070448577424295, ""yes"": 0.6592954342363698}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,27,yes,False,"{""no"": -4.59375, ""yes"": -2.958984375}","{""no"": 0.16317858246564643, ""yes"": 0.8368215317396791}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,28,yes,False,"{""no"": -3.31640625, ""yes"": -3.05859375}","{""no"": 0.4359015103142776, ""yes"": 0.5640984675176304}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,29,yes,False,"{""no"": -4.0390625, ""yes"": -2.291015625}","{""no"": 0.14829373502187865, ""yes"": 0.8517064097510519}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,30,belief,False,"{""belief"": -0.5810546875, ""color"": -2.77734375}","{""belief"": 0.8999157626807339, ""color"": 0.10008421784606672}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,31,water,True,"{""enthusiasm"": -4.313831329345703, ""water"": -4.1796875}","{""enthusiasm"": 0.46651427027230313, ""water"": 0.533485792285746}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,32,yes,False,"{""no"": -3.814453125, ""yes"": -3.126953125}","{""no"": 0.3345894513763354, ""yes"": 0.6654105788791005}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,33,lightning,True,"{""credits"": -5.176239013671875, ""lightning"": -4.3984375}","{""credits"": 0.3147939254945614, ""lightning"": 0.6852061443413753}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,34,light,True,"{""innovation"": -2.125, ""light"": -2.0390625}","{""innovation"": 0.4785288148479269, ""light"": 0.5214711377329961}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,35,yes,False,"{""no"": -3.181640625, ""yes"": -2.517578125}","{""no"": 0.3398275980685317, ""yes"": 0.6601723415572317}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,36,financial,False,"{""financial"": -3.568359375, ""physical"": -4.1328125}","{""financial"": 0.637482348410287, ""physical"": 0.3625177587975315}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,37,mark,True,"{""mark"": -3.001953125, ""standard"": -4.20703125}","{""mark"": 0.7694269364202454, ""standard"": 0.23057308282936723}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,38,alive,True,"{""alive"": -2.8671875, ""dead"": -3.859375}","{""alive"": 0.7295198854748359, ""dead"": 0.27048026188934565}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,39,yes,False,"{""no"": -3.56640625, ""yes"": -3.25390625}","{""no"": 0.42250463532201454, ""yes"": 0.577495365879928}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,40,scoring,True,"{""create"": -5.60546875, ""exam"": -4.90234375, ""pass"": -4.89453125, ""scoring"": -4.86328125, ""system"": -8.078125}","{""create"": 0.13810551537773444, ""exam"": 0.2789808097458509, ""pass"": 0.2811688833554211, ""scoring"": 0.2900941417958399, ""system"": 0.01165064737552969}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,41,trend,False,"{""emotion"": -4.21875, ""trend"": -4.20587158203125}","{""emotion"": 0.4967804336676812, ""trend"": 0.5032195535741887}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,42,yes,False,"{""no"": -3.15625, ""yes"": -2.78125}","{""no"": 0.4073333999755006, ""yes"": 0.5926665998515953}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,43,yes,False,"{""no"": -4.1875, ""yes"": -3.609375}","{""no"": 0.359364206003244, ""yes"": 0.640635963304526}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,44,movement,True,"{""movement"": -2.4453125, ""progress"": -3.453125}","{""movement"": 0.7325918709325988, ""progress"": 0.2674081797379419}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,45,see,True,"{""acquire"": -5.13671875, ""see"": -3.61328125}","{""acquire"": 0.17895590150505036, ""see"": 0.8210441756924929}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,46,obvious,False,"{""leave"": -3.62109375, ""leaving"": -4.63671875, ""obvious"": -3.10546875, ""say"": -8.0546875, ""saying"": -6.630859375}","{""leave"": 0.32278516557736503, ""leaving"": 0.11690503983145192, ""obvious"": 0.5405634275047568, ""say"": 0.0038320244090392147, ""saying"": 0.015914352179507547}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,47,escape,False,"{""escape"": -2.36328125, ""give"": -4.96484375, ""giving"": -6.0703125, ""paper"": -3.92578125, ""piece"": -6.01953125}","{""escape"": 0.7495416731903611, ""give"": 0.05558422385164971, ""giving"": 0.01840147210862772, ""paper"": 0.15711246984498645, ""piece"": 0.019360054894774853}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,zero_shot,standard,zero_shot_standard,48,radio,True,"{""frequency"": -6.91796875, ""opinions"": -5.976539611816406, ""radio"": -3.529296875, ""sharing"": -6.8359375}","{""frequency"": 0.029175179708711776, ""opinions"": 0.07479473359507918, ""radio"": 0.8643607469335719, ""sharing"": 0.03166935796961552}"
