model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -4.44140625, ""silent"": -0.00616455078125}","{""conversation"": 0.011713370107323123, ""silent"": 0.9882866823683528}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.040069580078125, ""secret"": -6.7109375}","{""food"": 0.9987342886693289, ""secret"": 0.0012656943685990924}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,2,accuracy,False,"{""accuracy"": -0.01340484619140625, ""carpentry"": -3.7168562412261963}","{""accuracy"": 0.9759541526143827, ""carpentry"": 0.024045892887122593}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -5.925791144371033, ""location"": -0.0063323974609375}","{""indecision"": 0.002679454556656923, ""location"": 0.9973205789036825}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.56005859375, ""agreed"": -3.427734375, ""disagree"": -1.169921875, ""disagreed"": -5.18359375}","{""agree"": 0.6210894579226408, ""agreed"": 0.03529704626866993, ""disagree"": 0.33751561817967096, ""disagreed"": 0.006097872319971929}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -0.0082244873046875, ""secret"": -7.8515625}","{""animal"": 0.9996078364440992, ""secret"": 0.000392203213906075}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -4.8046875, ""awake"": -0.0215911865234375}","{""asleep"": 0.00830056721795516, ""awake"": 0.9916994339388795}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -6.032948811848958, ""conflict"": -0.08660888671875, ""together"": -6.171875, ""working"": -3.5703125}","{""collaborating"": 0.0025255244044517363, ""conflict"": 0.965637625625888, ""together"": 0.0021979447010123513, ""working"": 0.02963881910793066}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -0.10870361328125, ""unharmed"": -0.007223089536031087}","{""hurt"": 0.4746516228851986, ""unharmed"": 0.5253483955417224}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.0041656494140625, ""wet"": -1.0251998901367188e-05}","{""dry"": 0.4989611575011636, ""wet"": 0.5010388532413771}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,10,romantic,False,"{""platonic"": -1.4140625596046448, ""romantic"": -0.10198974609375}","{""platonic"": 0.21214019979476648, ""romantic"": 0.787859803423188}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -6.76171875, ""yes"": -0.67529296875}","{""no"": 0.002268362764950327, ""yes"": 0.9977315801911498}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,12,bad,True,"{""bad"": -0.007457733154296875, ""good"": -7.78125}","{""bad"": 0.9995796064922334, ""good"": 0.0004204382925082853}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -4.40625, ""sportsman"": -0.0001717209815979004}","{""career"": 0.012055826986535963, ""sportsman"": 0.987944138916051}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,14,reality,False,"{""object"": -2.53515625, ""reality"": -0.36328125}","{""object"": 0.10230472070761547, ""reality"": 0.8976952975414448}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -0.0390625, ""success"": -4.0703125}","{""object"": 0.9825574728700285, ""success"": 0.01744248739498781}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,16,no,True,"{""no"": -1.2265625, ""yes"": -1.921875}","{""no"": 0.6671476389322356, ""yes"": 0.33285230702449997}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,17,no,True,"{""no"": -1.9287109375, ""yes"": -3.2890625}","{""no"": 0.7958167900200074, ""yes"": 0.20418315987746624}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -0.0999755859375, ""yes"": -5.5078125}","{""no"": 0.9955386793563192, ""yes"": 0.004461330602421556}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -5.000004947185516, ""owner"": -0.023590087890625}","{""handyman"": 0.006851485981503374, ""owner"": 0.9931485057135352}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -7.72265625, ""yes"": -3.876953125}","{""no"": 0.020924188965893542, ""yes"": 0.9790757178057918}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,21,no,True,"{""disputed"": -3.4296875, ""no"": -0.1405029296875, ""yes"": -3.8125}","{""disputed"": 0.035084114869471654, ""no"": 0.9409905505189723, ""yes"": 0.02392528764893596}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,22,no,True,"{""no"": -0.11041259765625, ""uncertain"": -3.822265625, ""yes"": -3.595703125}","{""no"": 0.9477980537339749, ""uncertain"": 0.023156797142425082, ""yes"": 0.02904513067536344}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,23,no,True,"{""no"": -0.034759521484375, ""yes"": -6.45703125}","{""no"": 0.9983776942897773, ""yes"": 0.0016223243744434314}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,24,no,True,"{""no"": -0.57763671875, ""yes"": -4.234375}","{""no"": 0.9748331868236264, ""yes"": 0.02516686238080973}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,25,yes,True,"{""no"": -5.12109375, ""yes"": -1.7470703125}","{""no"": 0.033117233176566174, ""yes"": 0.9668827377819498}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,26,yes,True,"{""no"": -4.3984375, ""yes"": -1.171875}","{""no"": 0.03817827568168657, ""yes"": 0.9618217615153889}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,27,no,True,"{""no"": -1.208984375, ""yes"": -2.857421875}","{""no"": 0.8386797685241136, ""yes"": 0.1613202389589093}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,28,yes,False,"{""no"": -7.1015625, ""yes"": -0.19384765625}","{""no"": 0.0009990414442568939, ""yes"": 0.9990009592832402}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,29,no,True,"{""no"": -0.191162109375, ""yes"": -4.16015625}","{""no"": 0.9814579031732392, ""yes"": 0.018542122605566164}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,30,belief,False,"{""belief"": -0.72802734375, ""color"": -0.97802734375}","{""belief"": 0.5621765025686553, ""color"": 0.43782350042481233}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,few_shot,standard,few_shot_standard,31,enthusiasm,False,"{""enthusiasm"": -0.1998291015625, ""water"": -2.23828125}","{""enthusiasm"": 0.8847755191716292, ""water"": 0.11522443854331525}"
