Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, Silent
True,Is this statement about food or a secret?, Food
True,Is this statement about carpentry or accuracy?, Carpentry
True,Is the statement about location or indecision?, Location
True,Did Rui agree or disagree to play volleyball?, Agree
True,Is this statement about an animal or a secret?, Animal
True,Is the acrobat asleep or awake?, Awake
False,Are the campers in conflict or working together?, Conflict
True,Is Jane hurt or unharmed?, Unharmed
True,Are Jane's keys wet or dry?, Wet
False,Did Alex and Jane have a platonic or romantic relationship?, Romantic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, Bad
True,Is Andy a sportsman or a career guy?, Sportsman
False,Is she trying to grip an object or reality?, Reality
True,Is the choice about the object or the success?, Object
False,Did the tour guide drive for many hours?, Yes
True,Is the course finished?, No
False,Was Jane going through a time of hardship?, Yes
True,Was Jack an owner or a handyman?, Owner
False,Is the fish hook in a highly precarious state?, Yes
False,Was the land disputed?, Disputed
False,Was there some uncertainty in the form?, Uncertain
False,Was Jack in trouble?, Yes
True,Was that paragraph something that absolutely could not be considered?, No
True,Was the rabbit constantly jumping?, Yes
True,Are they talking about an animal?, Yes
False,Is the statement a summary of a very complex idea?, Yes
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
True,Is this statement about belief or about color?, Color
True,Was the object lacking water or enthusiasm?, Water
False,Was Jane preparing to deal with the consequences of her actions?, Yes
False,Was Luke trying to steal Zeus's lightning or credits?," Thunder

The question is asking about Luke Castellan, a character from the Star Wars universe, and whether"
False,Is the statement about innovation or light?, Innovation
False,Did the apple change the outcome of an important decision?, Yes
False,Was Jane experiencing financial or physical strain?, Financial
True,Is the action about the mark or the standard?, Mark
False,Is Jaime dead or alive?, Dead
False,Does Joe pay the bills all day?, Yes
True,Did Alice pass an exam or create a scoring system?, System
True,Is the statement describing an emotion or a trend?, Emotion
False,Do the two soldiers need to always be together?, Yes
False,Is the cat fighting?, Yes
True,Is the sentence describing an object’s movement or progress?, Movement
True,Does Jack want to see or acquire the Eiffel Tower?, See
True,Is this statement about Jane saying something obvious or leaving?, Leaving
False,Is Jane giving Jack a piece of paper or trying to escape from him?, Slip.
True,Are the aliens receiving a radio frequency or sharing similar opinions?, Frequency
False,Is the heart valued for its durability or for its kindness?, Both
