model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -17.28125, ""silent"": -0.0030879974365234375}","{""conversation"": 3.1346538126136104e-08, ""silent"": 1.0}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,1,secret,False,"{""food"": -5.28125, ""secret"": -1.2646484375}","{""food"": 0.017695316138283648, ""secret"": 0.9823046968038979}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,2,accuracy,False,"{""accuracy"": -0.11566162109375, ""carpentry"": -1.8314862251281738}","{""accuracy"": 0.8475902192058657, ""carpentry"": 0.15240976676721743}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,3,location,True,"{""indecision"": -3.517734408378601, ""location"": -1.1435546875}","{""indecision"": 0.08516292222150441, ""location"": 0.9148370792973046}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -2.392578125, ""agreed"": -6.720916748046875, ""disagree"": -6.13671875, ""disagreed"": -6.707356770833333}","{""agree"": 0.9521861004904255, ""agreed"": 0.012558800287037439, ""disagree"": 0.022524866447439673, ""disagreed"": 0.012730261228206785}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -5.5234375, ""secret"": -4.953125}","{""animal"": 0.36116470682928536, ""secret"": 0.6388352560545881}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -1.6396484375, ""awake"": -7.546875}","{""asleep"": 0.997287620712794, ""awake"": 0.0027123424982759604}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,7,working,True,"{""collaborating"": -5.535859902699788, ""conflict"": -10.110665321350098, ""together"": -4.19921875, ""working"": -0.0758056640625}","{""collaborating"": 0.0041679381867128044, ""conflict"": 4.2964404476892935e-05, ""together"": 0.01586416489644341, ""working"": 0.9799249097126215}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,8,hurt,False,"{""hurt"": -0.0008544921875, ""unharmed"": -0.08877853552500407}","{""hurt"": 0.5219668840979593, ""unharmed"": 0.47803315032885624}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.0081787109375, ""wet"": -0.0001112222671508789}","{""dry"": 0.49798312272803785, ""wet"": 0.5020168450555926}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,10,romantic,False,"{""platonic"": -1.5010137557983398, ""romantic"": -1.111328125}","{""platonic"": 0.40379300306328164, ""romantic"": 0.5962070516297558}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -4.08203125, ""yes"": -1.5029296875}","{""no"": 0.07049556582620733, ""yes"": 0.929504355931454}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,12,bad,True,"{""bad"": -0.7294921875, ""good"": -1.6513671875}","{""bad"": 0.7154239787279681, ""good"": 0.28457601439436725}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -2.783203125, ""sportsman"": -0.10939979553222656}","{""career"": 0.06453697903992232, ""sportsman"": 0.9354630783371669}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,14,reality,False,"{""object"": -4.3046875, ""reality"": -0.490478515625}","{""object"": 0.021579218739823665, ""reality"": 0.9784207869254132}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,15,object,True,"{""object"": -0.5732421875, ""success"": -2.43359375}","{""object"": 0.8653378845862655, ""success"": 0.13466207820557174}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,zero_shot,standard,zero_shot_standard,16,yes,False,"{""no"": -12.328125, ""yes"": -1.2216796875}","{""no"": 1.501500428287798e-05, ""yes"": 0.9999849797423218}"
