model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -8.172882080078125, ""silent"": -0.11651611328125}","{""conversation"": 0.00031697660544451165, ""silent"": 0.9996830056971734}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.018951416015625, ""secret"": -12.578125}","{""food"": 0.9999965429365787, ""secret"": 3.5125180002835997e-06}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,2,accuracy,False,"{""accuracy"": -0.216796875, ""carpentry"": -0.8615626494089762}","{""accuracy"": 0.6558299468906194, ""carpentry"": 0.3441700145284244}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -5.761420289675395, ""location"": -0.09368896484375}","{""indecision"": 0.00344379669744743, ""location"": 0.9965562648834565}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.6171875, ""agreed"": -1.140625, ""disagree"": -4.929981867472331, ""disagreed"": -4.631195068359375}","{""agree"": 0.6157872891506277, ""agreed"": 0.36484187278812086, ""disagree"": 0.00824912658245442, ""disagreed"": 0.01112165341441315}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -4.59765625, ""secret"": -0.09722900390625}","{""animal"": 0.010982300826192691, ""secret"": 0.989017723351409}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -5.06640625, ""awake"": -0.059173583984375}","{""asleep"": 0.006644938757671733, ""awake"": 0.9933550203992326}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,7,working,True,"{""collaborating"": -2.79974365234375, ""conflict"": -2.32421875, ""together"": -1.8564453125, ""working"": -0.6767578125}","{""collaborating"": 0.07389154281588695, ""conflict"": 0.11888103448136844, ""together"": 0.18978592384395082, ""working"": 0.6174414708319331}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -3.298828125, ""unharmed"": -0.06827823321024577}","{""hurt"": 0.038032125662101554, ""unharmed"": 0.9619678685151737}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -2.404296875, ""wet"": -0.3330078125}","{""dry"": 0.11191885019267507, ""wet"": 0.8880811988285979}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,10,romantic,False,"{""platonic"": -2.822291374206543, ""romantic"": -0.056915283203125}","{""platonic"": 0.059224112987587424, ""romantic"": 0.9407759004524817}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -7.72265625, ""yes"": -0.21484375}","{""no"": 0.0005484791237632148, ""yes"": 0.9994514599456563}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,12,bad,True,"{""bad"": -0.05328369140625, ""good"": -4.6328125}","{""bad"": 0.9898444452276961, ""good"": 0.010155534393622347}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -6.01171875, ""sportsman"": -0.027452468872070312}","{""career"": 0.0025117360279812827, ""sportsman"": 0.9974882665054838}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,14,object,True,"{""object"": -0.2354736328125, ""reality"": -1.8916015625}","{""object"": 0.8397175612115552, ""reality"": 0.16028247041325325}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -0.1317138671875, ""success"": -4.609375}","{""object"": 0.9887676667493595, ""success"": 0.011232353852273698}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -8.234375, ""yes"": -0.274658203125}","{""no"": 0.00034913012939060436, ""yes"": 0.9996508373577294}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -7.640625, ""yes"": -0.82666015625}","{""no"": 0.0010971245986320423, ""yes"": 0.9989029230911899}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,18,yes,False,"{""no"": -3.6484375, ""yes"": -0.203125}","{""no"": 0.030908961299636474, ""yes"": 0.9690910276363149}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -4.079998970031738, ""owner"": -0.134765625}","{""handyman"": 0.018979510344098616, ""owner"": 0.9810204759843526}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -7.765625, ""yes"": -0.256591796875}","{""no"": 0.000547810524497981, ""yes"": 0.9994521748093028}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,21,yes,False,"{""disputed"": -3.5130977630615234, ""no"": -4.453125, ""yes"": -0.16455078125}","{""disputed"": 0.03349863039251245, ""no"": 0.013085141073666267, ""yes"": 0.9534162441045994}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,22,yes,False,"{""no"": -4.74609375, ""uncertain"": -4.28515625, ""yes"": -0.292724609375}","{""no"": 0.011299245199952243, ""uncertain"": 0.017915628402326175, ""yes"": 0.9707851594984467}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,23,no,True,"{""no"": -0.76953125, ""yes"": -3.65234375}","{""no"": 0.9469902457787203, ""yes"": 0.053009773011944254}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,few_shot,standard,few_shot_standard,24,yes,False,"{""no"": -2.642578125, ""yes"": -1.1044921875}","{""no"": 0.17681370326112655, ""yes"": 0.8231863410135868}"
