model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,0,silent,True,"{""conversation"": -6.61328125, ""silent"": -0.1875}","{""conversation"": 0.0016166500219129847, ""silent"": 0.9983833996305764}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,1,secret,False,"{""food"": -5.11328125, ""secret"": -1.6748046875}","{""food"": 0.03111438134405358, ""secret"": 0.9688856321323619}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,2,carpentry,True,"{""accuracy"": -1.97265625, ""carpentry"": -0.8257904052734375}","{""accuracy"": 0.24106199922622693, ""carpentry"": 0.7589379360234367}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,3,location,True,"{""indecision"": -2.1411666870117188, ""location"": -1.75}","{""indecision"": 0.403436449659524, ""location"": 0.5965634847176995}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,4,agree,True,"{""agree"": -1.7353515625, ""agreed"": -5.86846923828125, ""disagree"": -1.7822265625, ""disagreed"": -4.575480143229167}","{""agree"": 0.49293678696080256, ""agreed"": 0.007903162773635654, ""disagree"": 0.4703635680194315, ""disagreed"": 0.0287964617261463}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,5,secret,False,"{""animal"": -3.7421875, ""secret"": -0.89794921875}","{""animal"": 0.05497991438132976, ""secret"": 0.945020109079469}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,6,asleep,False,"{""asleep"": -2.30078125, ""awake"": -2.91015625}","{""asleep"": 0.6477982535819721, ""awake"": 0.35220180141950946}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,7,conflict,False,"{""collaborating"": -5.975423177083333, ""conflict"": -2.189453125, ""together"": -8.5703125, ""working"": -5.48828125}","{""collaborating"": 0.02137632276906641, ""conflict"": 0.942234430128479, ""together"": 0.0015958312061390618, ""working"": 0.03479333978133602}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,8,hurt,False,"{""hurt"": -0.01297760009765625, ""unharmed"": -0.8134437004725138}","{""hurt"": 0.6900741782355401, ""unharmed"": 0.30992583777168536}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,think,zero_shot_think,9,wet,True,"{""dry"": -0.099609375, ""wet"": -0.0051727294921875}","{""dry"": 0.47640836939428577, ""wet"": 0.5235916312617775}"
