model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -7.80078125, ""silent"": -0.0877685546875}","{""conversation"": 0.0004467731923750947, ""silent"": 0.999553281039662}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,1,secret,False,"{""food"": -2.767578125, ""secret"": -2.345703125}","{""food"": 0.39606817691887264, ""secret"": 0.6039318499573872}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -4.875, ""carpentry"": -0.885833740234375}","{""accuracy"": 0.0181785656117292, ""carpentry"": 0.9818214860819102}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,3,location,True,"{""indecision"": -2.816741943359375, ""location"": -1.0126953125}","{""indecision"": 0.1413591904864171, ""location"": 0.8586407989361723}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -1.8369140625, ""agreed"": -3.431640625, ""disagree"": -3.6835479736328125, ""disagreed"": -3.9703776041666665}","{""agree"": 0.6760604279556768, ""agreed"": 0.1372159414700645, ""disagree"": 0.10666025024700772, ""disagreed"": 0.08006340164640423}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -1.4033203125, ""secret"": -1.3017578125}","{""animal"": 0.47463116861381804, ""secret"": 0.525368812147771}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -0.8427734375, ""awake"": -3.818359375}","{""asleep"": 0.9514588963946107, ""awake"": 0.048541079058662916}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,7,working,True,"{""collaborating"": -2.847900390625, ""conflict"": -3.81640625, ""together"": -1.7919921875, ""working"": -1.7685546875}","{""collaborating"": 0.13894701371469412, ""conflict"": 0.05275121497459911, ""together"": 0.3994149563334599, ""working"": 0.4088868090636686}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,8,hurt,False,"{""hurt"": -0.002208709716796875, ""unharmed"": -0.630739688873291}","{""hurt"": 0.6521562870735518, ""unharmed"": 0.34784370598133674}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.05242919921875, ""wet"": -0.0005421638488769531}","{""dry"": 0.48703113389492375, ""wet"": 0.5129688316862304}"
