model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -5.16015625, ""silent"": -0.0013399124145507812}","{""conversation"": 0.005715643457616698, ""silent"": 0.9942843462268578}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -0.6455078125, ""secret"": -2.068359375}","{""food"": 0.8057850894032524, ""secret"": 0.19421494429168687}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -1.462890625, ""carpentry"": -0.43534135818481445}","{""accuracy"": 0.26355951672290123, ""carpentry"": 0.7364404812005964}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,3,location,True,"{""indecision"": -1.2434234619140625, ""location"": -0.642578125}","{""indecision"": 0.3541503129773815, ""location"": 0.645849654066936}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -1.548828125, ""agreed"": -2.736328125, ""disagree"": -3.705078125, ""disagreed"": -4.1152292887369795}","{""agree"": 0.6677561632292195, ""agreed"": 0.2036541234855214, ""disagree"": 0.07729838647205621, ""disagreed"": 0.05129134769324858}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -2.498046875, ""secret"": -0.810546875}","{""animal"": 0.15610489606584552, ""secret"": 0.8438951453965001}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -0.442138671875, ""awake"": -2.70703125}","{""asleep"": 0.905927435311443, ""awake"": 0.09407257620305028}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -5.407877604166667, ""conflict"": -0.79248046875, ""together"": -6.19921875, ""working"": -1.9013671875}","{""collaborating"": 0.0073630704845862194, ""conflict"": 0.7438757421308466, ""together"": 0.0033372119949997762, ""working"": 0.24542399064052997}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,8,hurt,False,"{""hurt"": -0.03961181640625, ""unharmed"": -0.39068015416463214}","{""hurt"": 0.5868766449396886, ""unharmed"": 0.4131233742476576}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.021636962890625, ""wet"": -0.0001533031463623047}","{""dry"": 0.49462928824109154, ""wet"": 0.5053707049031351}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,10,romantic,False,"{""platonic"": -1.6514464020729065, ""romantic"": -0.41162109375}","{""platonic"": 0.22446639223382336, ""romantic"": 0.7755335962910825}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -3.66796875, ""yes"": -1.82421875}","{""no"": 0.13660840201676977, ""yes"": 0.8633916857563927}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,12,bad,True,"{""bad"": -0.58251953125, ""good"": -4.08203125}","{""bad"": 0.9706738368837486, ""good"": 0.029326129428388695}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -3.00390625, ""sportsman"": -0.0041790008544921875}","{""career"": 0.047438201029078766, ""sportsman"": 0.9525618163143174}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,14,object,True,"{""object"": -1.556640625, ""reality"": -1.697265625}","{""object"": 0.5350984235603058, ""reality"": 0.4649015669717057}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,15,object,True,"{""object"": -1.98046875, ""success"": -3.04296875}","{""object"": 0.7431680825882672, ""success"": 0.2568320169528664}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,16,yes,False,"{""no"": -5.78515625, ""yes"": -1.6748046875}","{""no"": 0.016137326202413767, ""yes"": 0.9838626563200619}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,17,yes,False,"{""no"": -3.361328125, ""yes"": -3.236328125}","{""no"": 0.4687907008658291, ""yes"": 0.5312094574982276}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,18,yes,False,"{""no"": -3.26171875, ""yes"": -2.13671875}","{""no"": 0.24508502137530588, ""yes"": 0.754915012257653}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,zero_shot,standard,zero_shot_standard,19,owner,True,"{""handyman"": -1.9605369567871094, ""owner"": -1.2216796875}","{""handyman"": 0.32325406448902716, ""owner"": 0.6767458936226585}"
