Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, silent
False,Is this statement about food or a secret?, secret
False,Is this statement about carpentry or accuracy?, accuracy
True,Is the statement about location or indecision?, location
False,Did Rui agree or disagree to play volleyball?, Disagreed
False,Is this statement about an animal or a secret?, secret
False,Is the acrobat asleep or awake?, Asleep
False,Are the campers in conflict or working together?, conflict
True,Is Jane hurt or unharmed?, unharmed
False,Are Jane's keys wet or dry?, dry
False,Did Alex and Jane have a platonic or romantic relationship?, romantic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, Sportsman
False,Is she trying to grip an object or reality?, Reality
True,Is the choice about the object or the success?, Object
False,Did the tour guide drive for many hours?, Yes
False,Is the course finished?, Yes
True,Was Jane going through a time of hardship?, No
True,Was Jack an owner or a handyman?, Owner
False,Is the fish hook in a highly precarious state?, Yes
False,Was the land disputed?, Yes
False,Was there some uncertainty in the form?, Yes
True,Was Jack in trouble?, No
False,Was that paragraph something that absolutely could not be considered?, Yes
True,Was the rabbit constantly jumping?, Yes
False,Are they talking about an animal?," Bear.
Answer: Bear. 

The question is asking whether"
False,Is the statement a summary of a very complex idea?, Yes
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
False,Is this statement about belief or about color?, belief
False,Was the object lacking water or enthusiasm?, Enthusiasm
False,Was Jane preparing to deal with the consequences of her actions?, Yes
True,Was Luke trying to steal Zeus's lightning or credits?, lightning
False,Is the statement about innovation or light?, innovation
False,Did the apple change the outcome of an important decision?, Yes
True,Was Jane experiencing financial or physical strain?, physical
False,Is the action about the mark or the standard?, standard
False,Is Jaime dead or alive?, dead
True,Does Joe pay the bills all day?, No
False,Did Alice pass an exam or create a scoring system?, pass
True,Is the statement describing an emotion or a trend?, emotion
False,Do the two soldiers need to always be together?, Yes
True,Is the cat fighting?, No
False,Is the sentence describing an object’s movement or progress?, Progress
True,Does Jack want to see or acquire the Eiffel Tower?, see
True,Is this statement about Jane saying something obvious or leaving?, leaving
False,Is Jane giving Jack a piece of paper or trying to escape from him?, escape
True,Are the aliens receiving a radio frequency or sharing similar opinions?, frequency
True,Is the heart valued for its durability or for its kindness?, DURABILITY
