model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -1.421875, ""silent"": -1.0234375}","{""conversation"": 0.40168779995270765, ""silent"": 0.5983121871760707}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.51708984375, ""secret"": -3.236328125}","{""food"": 0.9381523226721302, ""secret"": 0.06184764275819417}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -0.6044921875, ""carpentry"": -0.5350977579752604}","{""accuracy"": 0.4826583692711879, ""carpentry"": 0.5173416577979222}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -1.5578939119974773, ""location"": -0.311767578125}","{""indecision"": 0.22337143874325394, ""location"": 0.7766286164005922}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.9140625, ""agreed"": -2.9140625, ""disagree"": -1.5546875, ""disagreed"": -2.27886962890625}","{""agree"": 0.5214503442213868, ""agreed"": 0.07057063423536804, ""disagree"": 0.274785038082344, ""disagreed"": 0.13319403614115657}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -1.130859375, ""secret"": -0.693359375}","{""animal"": 0.39233685123032197, ""secret"": 0.6076631843464606}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -1.3125, ""awake"": -0.59375}","{""asleep"": 0.32766831655649303, ""awake"": 0.6723316913929156}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,7,working,True,"{""collaborating"": -3.0906982421875, ""conflict"": -1.60546875, ""together"": -1.93359375, ""working"": -1.59765625}","{""collaborating"": 0.07664418191467033, ""conflict"": 0.3384591173933444, ""together"": 0.2437829570779922, ""working"": 0.341113685151469}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -1.818359375, ""unharmed"": -0.3168456554412842}","{""hurt"": 0.18219986704716581, ""unharmed"": 0.817800160736878}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.60546875, ""wet"": -0.66015625}","{""dry"": 0.2798284882716583, ""wet"": 0.7201714967672476}"
