model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,0,silent,True,"{""conversation"": -13.8671875, ""silent"": -0.0002789497375488281}","{""conversation"": 9.499000892437409e-07, ""silent"": 0.9999990463261383}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,1,secret,False,"{""food"": -3.45703125, ""secret"": -0.03594970703125}","{""food"": 0.031643070273861956, ""secret"": 0.9683569480795493}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,2,accuracy,False,"{""accuracy"": -0.0224609375, ""carpentry"": -5.605401873588562}","{""accuracy"": 0.9962525668590627, ""carpentry"": 0.003747390038368469}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,3,location,True,"{""indecision"": -1.663087010383606, ""location"": -0.09124755859375}","{""indecision"": 0.17195432002598296, ""location"": 0.8280456965135288}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,4,agree,True,"{""agree"": -1.0029296875, ""agreed"": -1.0029296875, ""disagree"": -1.6279296875, ""disagreed"": -3.4486947059631348}","{""agree"": 0.381399704333205, ""agreed"": 0.381399704333205, ""disagree"": 0.20414855057811185, ""disagreed"": 0.03305203106422684}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,5,animal,True,"{""animal"": -0.11492919921875, ""secret"": -2.287109375}","{""animal"": 0.8977233556130633, ""secret"": 0.10227669888925814}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,6,asleep,False,"{""asleep"": -0.069580078125, ""awake"": -2.9609375}","{""asleep"": 0.9474175074421521, ""awake"": 0.05258245237681529}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,7,conflict,False,"{""collaborating"": -6.5144704182942705, ""conflict"": -0.037384033203125, ""together"": -9.3515625, ""working"": -5.2421875}","{""collaborating"": 0.0015274127720312132, ""conflict"": 0.9929317323073327, ""together"": 8.950000325074385e-05, ""working"": 0.00545132327862079}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,8,unharmed,True,"{""hurt"": -0.0307464599609375, ""unharmed"": -0.010366201400756836}","{""hurt"": 0.49490511216227356, ""unharmed"": 0.5050948887563299}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,9,wet,True,"{""dry"": -0.037567138671875, ""wet"": -3.8743019104003906e-05}","{""dry"": 0.4906190132528944, ""wet"": 0.5093810095565191}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,10,romantic,False,"{""platonic"": -1.4150392413139343, ""romantic"": -0.09661865234375}","{""platonic"": 0.2110811909506991, ""romantic"": 0.7889188426824175}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,11,yes,True,"{""no"": -6.91796875, ""yes"": -0.1527099609375}","{""no"": 0.001151820776837041, ""yes"": 0.9988482228994263}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,12,bad,True,"{""bad"": -0.0011358261108398438, ""good"": -11.6015625}","{""bad"": 0.9999908209268326, ""good"": 9.162090263253745e-06}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,13,sportsman,True,"{""career"": -5.2734375, ""sportsman"": -7.510185241699219e-05}","{""career"": 0.005100198790849436, ""sportsman"": 0.9948997882547901}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,14,reality,False,"{""object"": -6.1328125, ""reality"": -0.00921630859375}","{""object"": 0.0021857759292208743, ""reality"": 0.9978141982739038}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,15,object,True,"{""object"": -0.2330322265625, ""success"": -1.6865234375}","{""object"": 0.810535189307184, ""success"": 0.18946486356513056}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,no_think,few_shot_no_think,16,yes,False,"{""no"": -6.8203125, ""yes"": -0.2403564453125}","{""no"": 0.0013859864231344238, ""yes"": 0.9986139762366436}"
