model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -5.18359375, ""silent"": -0.01351165771484375}","{""conversation"": 0.005651974897122433, ""silent"": 0.9943479889653091}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -0.06268310546875, ""secret"": -3.421875}","{""food"": 0.9664045536565969, ""secret"": 0.033595448990687}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -0.900390625, ""carpentry"": -0.3017667531967163}","{""accuracy"": 0.35465860223092155, ""carpentry"": 0.6453413845199423}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,3,location,True,"{""indecision"": -3.2070322036743164, ""location"": -0.00878143310546875}","{""indecision"": 0.03923160265000758, ""location"": 0.9607683765350008}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -0.439697265625, ""agreed"": -5.15234375, ""disagree"": -1.361328125, ""disagreed"": -4.389387766520183}","{""agree"": 0.7012075757049979, ""agreed"": 0.006297529495538579, ""disagree"": 0.278989190661975, ""disagreed"": 0.013505723456631518}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,5,animal,True,"{""animal"": -0.0643310546875, ""secret"": -3.017578125}","{""animal"": 0.9504167227177017, ""secret"": 0.04958327234535737}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,6,awake,True,"{""asleep"": -0.7958984375, ""awake"": -0.7646484375}","{""asleep"": 0.49218813233878156, ""awake"": 0.5078118607898338}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -6.057047526041667, ""conflict"": -0.1806640625, ""together"": -9.53125, ""working"": -2.259765625}","{""collaborating"": 0.002486768169082363, ""conflict"": 0.8865765291990397, ""together"": 7.705632049291513e-05, ""working"": 0.11085975388034175}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -0.016998291015625, ""unharmed"": -0.010457992553710938}","{""hurt"": 0.4983649215475271, ""unharmed"": 0.5016350590582555}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.001995086669921875, ""wet"": -1.0371208190917969e-05}","{""dry"": 0.499503798340444, ""wet"": 0.500496155699952}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,10,platonic,True,"{""platonic"": -0.3537598252296448, ""romantic"": -0.84814453125}","{""platonic"": 0.6211388443212638, ""romantic"": 0.37886120820922864}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -1.1982421875, ""yes"": -1.1201171875}","{""no"": 0.48047866986182675, ""yes"": 0.5195213131008297}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,12,bad,True,"{""bad"": -0.0538330078125, ""good"": -5.2421875}","{""bad"": 0.9944498347112721, ""good"": 0.005550206551121347}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -5.6796875, ""sportsman"": -0.0021092891693115234}","{""career"": 0.0034101669367937997, ""sportsman"": 0.9965898852688396}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,14,reality,False,"{""object"": -3.080078125, ""reality"": -2.080078125}","{""object"": 0.26894143733631704, ""reality"": 0.7310586220309676}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,15,object,True,"{""object"": -0.1607666015625, ""success"": -4.91796875}","{""object"": 0.9914835336245568, ""success"": 0.008516454386765468}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,16,no,True,"{""no"": -0.274169921875, ""yes"": -2.4296875}","{""no"": 0.896183279386359, ""yes"": 0.10381675581278087}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,17,no,True,"{""no"": -0.2247314453125, ""yes"": -5.2109375}","{""no"": 0.9932148280922133, ""yes"": 0.0067851808230867845}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,18,no,True,"{""no"": -0.15576171875, ""yes"": -3.40625}","{""no"": 0.9626906385964388, ""yes"": 0.03730934249484891}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,19,owner,True,"{""handyman"": -5.447977542877197, ""owner"": -0.238037109375}","{""handyman"": 0.005432326296613175, ""owner"": 0.994567615079437}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,20,yes,False,"{""no"": -3.76171875, ""yes"": -2.76171875}","{""no"": 0.2689414052760013, ""yes"": 0.7310585348819939}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,21,no,True,"{""disputed"": -6.546875, ""no"": -0.1094970703125, ""yes"": -3.28125}","{""disputed"": 0.001533829666012926, ""no"": 0.9582851725291426, ""yes"": 0.040180926556235445}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,22,no,True,"{""no"": -0.24951171875, ""uncertain"": -3.78125, ""yes"": -2.03125}","{""no"": 0.835003917771992, ""uncertain"": 0.024427221979949735, ""yes"": 0.14056895697320473}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,23,no,True,"{""no"": -0.055267333984375, ""yes"": -5.6484375}","{""no"": 0.9962905474788027, ""yes"": 0.0037093944569825377}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,24,no,True,"{""no"": -0.99267578125, ""yes"": -2.3984375}","{""no"": 0.8030965766033354, ""yes"": 0.1969034126348322}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,25,no,False,"{""no"": -1.2041015625, ""yes"": -1.4072265625}","{""no"": 0.550607385906944, ""yes"": 0.4493926510916596}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,26,no,False,"{""no"": -1.5751953125, ""yes"": -1.9970703125}","{""no"": 0.6039318499573872, ""yes"": 0.39606817691887264}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,27,no,True,"{""no"": -0.54638671875, ""yes"": -1.1552734375}","{""no"": 0.6476868295548655, ""yes"": 0.35231320716776965}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,28,yes,False,"{""no"": -1.9765625, ""yes"": -0.8828125}","{""no"": 0.2509127779299181, ""yes"": 0.749087186378978}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,29,no,True,"{""no"": -0.90673828125, ""yes"": -2.3359375}","{""no"": 0.8067765274930059, ""yes"": 0.19322348909723197}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,30,belief,False,"{""belief"": -0.10028076171875, ""color"": -2.537109375}","{""belief"": 0.9195928698372032, ""color"": 0.08040710219048028}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,31,water,True,"{""enthusiasm"": -1.439453125, ""water"": -0.53271484375}","{""enthusiasm"": 0.2876677389274794, ""water"": 0.7123322252635971}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,32,no,True,"{""no"": -0.7724609375, ""yes"": -2.029296875}","{""no"": 0.778480967543232, ""yes"": 0.22151904024621924}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,33,credits,False,"{""credits"": -0.70166015625, ""lightning"": -1.7177734375}","{""credits"": 0.7342148491094028, ""lightning"": 0.2657852027456941}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,34,innovation,False,"{""innovation"": -0.257568359375, ""light"": -1.4921875}","{""innovation"": 0.7746260296729796, ""light"": 0.22537399671981578}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,35,no,True,"{""no"": -0.458740234375, ""yes"": -2.068359375}","{""no"": 0.8333584739478034, ""yes"": 0.16664149191672847}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,36,physical,True,"{""financial"": -3.65625, ""physical"": -0.030364990234375}","{""financial"": 0.025934988529405116, ""physical"": 0.9740650183625056}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,37,mark,True,"{""mark"": -0.55322265625, ""standard"": -1.7646484375}","{""mark"": 0.7705511323563857, ""standard"": 0.2294488877752884}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,38,dead,False,"{""alive"": -2.908203125, ""dead"": -0.08013916015625}","{""alive"": 0.055826352583992836, ""dead"": 0.9441736453603977}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,39,no,True,"{""no"": -0.0379638671875, ""yes"": -4.1328125}","{""no"": 0.9836146469330448, ""yes"": 0.016385317659051206}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,40,pass,False,"{""create"": -4.8359375, ""exam"": -8.4765625, ""pass"": -0.242919921875, ""scoring"": -9.005363464355469, ""system"": -12.1015625}","{""create"": 0.010016578410382403, ""exam"": 0.0002627943639734404, ""pass"": 0.98955872323485, ""scoring"": 0.0001548676491887102, ""system"": 7.003232584973845e-06}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,41,emotion,True,"{""emotion"": -0.018280029296875, ""trend"": -0.04638671875}","{""emotion"": 0.5070262289855504, ""trend"": 0.4929738088168154}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,42,no,True,"{""no"": -0.5302734375, ""yes"": -3.833984375}","{""no"": 0.9645559361318499, ""yes"": 0.035444100743585276}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,43,no,True,"{""no"": -0.298828125, ""yes"": -3.634765625}","{""no"": 0.9656413056508297, ""yes"": 0.03435868710659052}"
Qwen3-4B-Thinking,Qwen/Qwen3-4B-Thinking-2507,zero_shot,standard,zero_shot_standard,44,movement,True,"{""movement"": -0.01074981689453125, ""progress"": -3.330078125}","{""movement"": 0.9650859316808488, ""progress"": 0.0349140307037468}"
