Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, Silent
False,Is this statement about food or a secret?, secret
False,Is this statement about carpentry or accuracy?, accuracy
True,Is the statement about location or indecision?, Location
True,Did Rui agree or disagree to play volleyball?, Agree
False,Is this statement about an animal or a secret?, Cat
False,Is the acrobat asleep or awake?, Asleep
True,Are the campers in conflict or working together?, working
True,Is Jane hurt or unharmed?, Unharmed
True,Are Jane's keys wet or dry?, wet
False,Did Alex and Jane have a platonic or romantic relationship?, romantic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, sportsman
False,Is she trying to grip an object or reality?, reality
True,Is the choice about the object or the success?, OBJECT
False,Did the tour guide drive for many hours?, Yes
False,Is the course finished?, Yes
False,Was Jane going through a time of hardship?, Maybe
True,Was Jack an owner or a handyman?, OWNER
False,Is the fish hook in a highly precarious state?, Yes
False,Was the land disputed?, Disputed
False,Was there some uncertainty in the form?, Uncertain
True,Was Jack in trouble?, No
False,Was that paragraph something that absolutely could not be considered?, Yes
True,Was the rabbit constantly jumping?, Yes
True,Are they talking about an animal?, Yes
False,Is the statement a summary of a very complex idea?, Yes
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
True,Is this statement about belief or about color?, Color
True,Was the object lacking water or enthusiasm?, water
False,Was Jane preparing to deal with the consequences of her actions?, Yes
False,Was Luke trying to steal Zeus's lightning or credits?, Credits
True,Is the statement about innovation or light?, Light
True,Did the apple change the outcome of an important decision?, No
True,Was Jane experiencing financial or physical strain?, physical
False,Is the action about the mark or the standard?, standard
True,Is Jaime dead or alive?, Alive
False,Does Joe pay the bills all day?, Yes
True,Did Alice pass an exam or create a scoring system?, create
True,Is the statement describing an emotion or a trend?, emotion
True,Do the two soldiers need to always be together?, No
False,Is the cat fighting?, Maybe
False,Is the sentence describing an object’s movement or progress?, Progress
True,Does Jack want to see or acquire the Eiffel Tower?, see
True,Is this statement about Jane saying something obvious or leaving?, Leaving
True,Is Jane giving Jack a piece of paper or trying to escape from him?, Paper
True,Are the aliens receiving a radio frequency or sharing similar opinions?, Frequency
False,Is the heart valued for its durability or for its kindness?, Kindness
