model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,0,silent,True,"{""conversation"": -2.408203125, ""silent"": -0.07012939453125}","{""conversation"": 0.08801842073715711, ""silent"": 0.9119815641242851}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,1,food,True,"{""food"": -0.7041015625, ""secret"": -1.2353515625}","{""food"": 0.629774611051336, ""secret"": 0.3702253947395018}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,2,carpentry,True,"{""accuracy"": -1.3505859375, ""carpentry"": -0.4086570739746094}","{""accuracy"": 0.2805108928240267, ""carpentry"": 0.719489132037428}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,3,location,True,"{""indecision"": -0.9504013061523438, ""location"": -0.482666015625}","{""indecision"": 0.3851524280509631, ""location"": 0.6148476008940291}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,4,disagree,False,"{""agree"": -3.3671875, ""agreed"": -4.5859375, ""disagree"": -2.9609375, ""disagreed"": -4.668294270833333}","{""agree"": 0.3258382771430201, ""agreed"": 0.09631761074781199, ""disagree"": 0.4891411880373892, ""disagreed"": 0.0887030475004374}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,5,secret,False,"{""animal"": -0.8662109375, ""secret"": -0.6787109375}","{""animal"": 0.45326185397243934, ""secret"": 0.5467381591701916}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,6,awake,True,"{""asleep"": -2.548828125, ""awake"": -1.6103515625}","{""asleep"": 0.2812081691287246, ""awake"": 0.7187918187086412}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,7,working,True,"{""collaborating"": -3.6328125, ""conflict"": -4.2578125, ""together"": -4.1484375, ""working"": -1.8525390625}","{""collaborating"": 0.1240099736631883, ""conflict"": 0.06637775565356054, ""together"": 0.07404973745058746, ""working"": 0.7355625288410762}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,8,hurt,False,"{""hurt"": -0.04583740234375, ""unharmed"": -0.49898747603098553}","{""hurt"": 0.6113879264953958, ""unharmed"": 0.38861207059173075}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,9,wet,True,"{""dry"": -0.020416259765625, ""wet"": -0.002521514892578125}","{""dry"": 0.49552644831283, ""wet"": 0.504473582268569}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,10,platonic,True,"{""platonic"": -0.46125656366348267, ""romantic"": -0.73486328125}","{""platonic"": 0.5679781450596628, ""romantic"": 0.4320218749354312}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,11,yes,True,"{""no"": -0.89697265625, ""yes"": -0.85009765625}","{""no"": 0.48828338208938965, ""yes"": 0.5117165908639297}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,12,bad,True,"{""bad"": -0.364990234375, ""good"": -1.833984375}","{""bad"": 0.8129044311466572, ""good"": 0.1870955373563102}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,13,sportsman,True,"{""career"": -4.3046875, ""sportsman"": -0.009279251098632812}","{""career"": 0.013447701411206221, ""sportsman"": 0.9865523186380115}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,14,object,True,"{""object"": -1.0615234375, ""reality"": -2.671875}","{""object"": 0.8334601588083017, ""reality"": 0.16653979320175077}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,15,object,True,"{""object"": -1.2216796875, ""success"": -1.8310546875}","{""object"": 0.6477982149701884, ""success"": 0.35220180141950946}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,16,yes,False,"{""no"": -3.416015625, ""yes"": -0.197265625}","{""no"": 0.03846619103958837, ""yes"": 0.961533754860417}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,17,yes,False,"{""no"": -2.466796875, ""yes"": -0.54541015625}","{""no"": 0.12770702079722043, ""yes"": 0.8722929939465689}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,18,no,True,"{""no"": -0.24755859375, ""yes"": -2.388671875}","{""no"": 0.8948354425128769, ""yes"": 0.10516457900196476}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,19,owner,True,"{""handyman"": -2.125926971435547, ""owner"": -0.18603515625}","{""handyman"": 0.12565973968571792, ""owner"": 0.8743403051980004}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,20,yes,False,"{""no"": -3.375, ""yes"": -0.422607421875}","{""no"": 0.049623552976956725, ""yes"": 0.950376438872729}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,21,no,True,"{""disputed"": -4.765625, ""no"": -0.35791015625, ""yes"": -1.5302734375}","{""disputed"": 0.009216846956447885, ""no"": 0.75653421083963, ""yes"": 0.23424895116187466}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,22,no,True,"{""no"": -0.73046875, ""uncertain"": -4.24609375, ""yes"": -1.12109375}","{""no"": 0.5860417633201245, ""uncertain"": 0.017422562393070013, ""yes"": 0.39653569232669744}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,23,no,True,"{""no"": -0.0782470703125, ""yes"": -3.609375}","{""no"": 0.9715606312038239, ""yes"": 0.028439409457078055}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,no_think,few_shot_no_think,24,yes,False,"{""no"": -1.1748046875, ""yes"": -0.5185546875}","{""no"": 0.3415824960356538, ""yes"": 0.6584175332476201}"
