model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,0,silent,True,"{""conversation"": -13.125, ""silent"": -0.00018286705017089844}","{""conversation"": 1.9950951752266005e-06, ""silent"": 0.9999979734441311}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,1,secret,False,"{""food"": -1.2978515625, ""secret"": -0.5322265625}","{""food"": 0.31742627444071553, ""secret"": 0.6825737331070684}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,2,accuracy,False,"{""accuracy"": -1.046875, ""carpentry"": -3.310567617416382}","{""accuracy"": 0.9058251158598482, ""carpentry"": 0.0941748840098538}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,3,location,True,"{""indecision"": -3.6445318460464478, ""location"": -0.0386962890625}","{""indecision"": 0.02644633379468522, ""location"": 0.9735537072025194}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,4,agreed,True,"{""agree"": -4.34375, ""agreed"": -2.609375, ""disagree"": -5.40625, ""disagreed"": -3.3900034427642822}","{""agree"": 0.10409734994261043, ""agreed"": 0.5897516514000857, ""disagree"": 0.03597508150793541, ""disagreed"": 0.2701758587526188}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,5,secret,False,"{""animal"": -2.716796875, ""secret"": -0.1064453125}","{""animal"": 0.06847517892728026, ""secret"": 0.9315247886885814}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,6,asleep,False,"{""asleep"": -0.0310821533203125, ""awake"": -7.722660303115845}","{""asleep"": 0.9995435177396038, ""awake"": 0.0004564484807446135}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,7,working,True,"{""collaborating"": -6.521748860677083, ""conflict"": -1.2099609375, ""together"": -10.0078125, ""working"": -0.81884765625}","{""collaborating"": 0.0019861813472283377, ""conflict"": 0.40262345791519, ""together"": 6.081917977342242e-05, ""working"": 0.5953295149064822}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,8,hurt,False,"{""hurt"": -0.00955963134765625, ""unharmed"": -0.09269309043884277}","{""hurt"": 0.5207714210876622, ""unharmed"": 0.47922861315426324}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,9,wet,True,"{""dry"": -0.061859130859375, ""wet"": -8.344650268554688e-06}","{""dry"": 0.48454221323360824, ""wet"": 0.5154577501682368}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,10,romantic,False,"{""platonic"": -1.6767579317092896, ""romantic"": -0.275634765625}","{""platonic"": 0.19763794959322759, ""romantic"": 0.8023620746633017}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,11,yes,True,"{""no"": -11.46875, ""yes"": -2.39453125}","{""no"": 0.00011456901208327745, ""yes"": 0.9998855656301433}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,12,bad,True,"{""bad"": -0.058868408203125, ""good"": -8.546875}","{""bad"": 0.9997941690947756, ""good"": 0.0002058809259948381}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,13,sportsman,True,"{""career"": -4.08984375, ""sportsman"": -0.0004584789276123047}","{""career"": 0.01647360078324727, ""sportsman"": 0.983526423075888}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,14,reality,False,"{""object"": -6.8125, ""reality"": -0.32666015625}","{""object"": 0.0015225574649124851, ""reality"": 0.9984773973959558}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,15,object,True,"{""object"": -1.49609375, ""success"": -2.87109375}","{""object"": 0.798186813186023, ""success"": 0.20181323122263276}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,16,no,True,"{""no"": -3.609375, ""yes"": -4.625}","{""no"": 0.7341194965629874, ""yes"": 0.26588046211241273}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,17,yes,False,"{""no"": -5.734375, ""yes"": -2.986328125}","{""no"": 0.06019704425226311, ""yes"": 0.9398028575988112}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,18,no,True,"{""no"": -7.234375, ""yes"": -17.40625}","{""no"": 0.9999618537549303, ""yes"": 3.8229115493552746e-05}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,19,owner,True,"{""handyman"": -6.843838214874268, ""owner"": -3.220703125}","{""handyman"": 0.02600455196454686, ""owner"": 0.9739955045024383}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,20,yes,False,"{""no"": -11.875, ""yes"": -3.533203125}","{""no"": 0.00023828686533283036, ""yes"": 0.9997618482021201}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,21,yes,False,"{""disputed"": -7.762330055236816, ""no"": -5.63671875, ""yes"": -2.806640625}","{""disputed"": 0.006606832513402256, ""no"": 0.05535215807976643, ""yes"": 0.938041107893438}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,22,yes,False,"{""no"": -7.04296875, ""uncertain"": -7.62109375, ""yes"": -2.41796875}","{""no"": 0.009655889262712198, ""uncertain"": 0.005416462978835867, ""yes"": 0.9849277162011473}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,23,no,True,"{""no"": -2.544921875, ""yes"": -6.87109375}","{""no"": 0.9869544603450215, ""yes"": 0.013045617613588857}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,24,yes,False,"{""no"": -2.96484375, ""yes"": -2.04296875}","{""no"": 0.28457601439436725, ""yes"": 0.7154240213705615}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,25,yes,True,"{""no"": -9.296875, ""yes"": -3.42578125}","{""no"": 0.0028118589300387114, ""yes"": 0.9971882370119656}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,26,yes,True,"{""no"": -11.515625, ""yes"": -1.892578125}","{""no"": 6.61812956147682e-05, ""yes"": 0.9999338410329003}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,27,no,True,"{""no"": -3.111328125, ""yes"": -4.62890625}","{""no"": 0.8201815577715559, ""yes"": 0.179818426961337}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,28,yes,False,"{""no"": -16.46875, ""yes"": -4.8359375}","{""no"": 8.870130199906405e-06, ""yes"": 0.9999914169679868}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,29,yes,False,"{""no"": -5.8515625, ""yes"": -1.7099609375}","{""no"": 0.015648598711879347, ""yes"": 0.984351389346192}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,30,belief,False,"{""belief"": -0.401123046875, ""color"": -1.3544921875}","{""belief"": 0.72179223402854, ""color"": 0.2782077571756066}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,think,zero_shot_think,31,water,True,"{""enthusiasm"": -5.447918812433879, ""water"": -3.208984375}","{""enthusiasm"": 0.09630824192907232, ""water"": 0.9036918406310323}"
