Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, Silent
False,Is this statement about food or a secret?," beans

Answer: beans"
False,Is this statement about carpentry or accuracy?, Hammer.
True,Is the statement about location or indecision?, Location
True,Did Rui agree or disagree to play volleyball?, Agree
False,Is this statement about an animal or a secret?, secret
False,Is the acrobat asleep or awake?, Asleep
False,Are the campers in conflict or working together?, Conflict
True,Is Jane hurt or unharmed?, Unharmed
True,Are Jane's keys wet or dry?, wet
True,Did Alex and Jane have a platonic or romantic relationship?, Platonic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, Andy is a sportsman
False,Is she trying to grip an object or reality?," 

Okay, let's see. The question is asking whether"
False,Is the choice about the object or the success?, Success
False,Did the tour guide drive for many hours?, Yes
False,Is the course finished?, Yes
False,Was Jane going through a time of hardship?, Yes
True,Was Jack an owner or a handyman?, Owner
False,Is the fish hook in a highly precarious state?, Yes
True,Was the land disputed?, No
False,Was there some uncertainty in the form?, Yes
True,Was Jack in trouble?, No
True,Was that paragraph something that absolutely could not be considered?, No
True,Was the rabbit constantly jumping?, Yes
True,Are they talking about an animal?, Yes
False,Is the statement a summary of a very complex idea?, Yes
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
True,Is this statement about belief or about color?, Color
False,Was the object lacking water or enthusiasm?, Enthusiasm
False,Was Jane preparing to deal with the consequences of her actions?, Yes
False,Was Luke trying to steal Zeus's lightning or credits?, credits
True,Is the statement about innovation or light?, Light
False,Did the apple change the outcome of an important decision?, Yes
True,Was Jane experiencing financial or physical strain?, physical
True,Is the action about the mark or the standard?, Mark
True,Is Jaime dead or alive?, Alive
False,Does Joe pay the bills all day?, Yes
False,Did Alice pass an exam or create a scoring system?, Pass
True,Is the statement describing an emotion or a trend?, Emotion
True,Do the two soldiers need to always be together?, No
False,Is the cat fighting?, Yes
False,Is the sentence describing an object’s movement or progress?, Progress
False,Does Jack want to see or acquire the Eiffel Tower?, Acquire
False,Is this statement about Jane saying something obvious or leaving?, obvious
False,Is Jane giving Jack a piece of paper or trying to escape from him?, escape
True,Are the aliens receiving a radio frequency or sharing similar opinions?, Radio
False,Is the heart valued for its durability or for its kindness?, Kindness
