model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -2.890625, ""silent"": -2.2109375}","{""conversation"": 0.3363310510058042, ""silent"": 0.6636689432841575}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -1.19140625, ""secret"": -3.33203125}","{""food"": 0.894789454427993, ""secret"": 0.1052105231181944}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -4.3828125, ""carpentry"": -0.7363934914271036}","{""accuracy"": 0.025421272127757646, ""carpentry"": 0.9745786638661422}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,3,location,True,"{""indecision"": -5.016593933105469, ""location"": -2.1953125}","{""indecision"": 0.05618494044482075, ""location"": 0.9438150170995283}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -2.54296875, ""agreed"": -3.10546875, ""disagree"": -5.206312497456868, ""disagreed"": -4.7376556396484375}","{""agree"": 0.5711378071608222, ""agreed"": 0.3254245130747184, ""disagree"": 0.039816703033667786, ""disagreed"": 0.06362099431824242}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,5,animal,True,"{""animal"": -1.2197265625, ""secret"": -3.9296875}","{""animal"": 0.9376118050186457, ""secret"": 0.062388132433069114}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -2.6875, ""awake"": -4.3984375}","{""asleep"": 0.8469578777204317, ""awake"": 0.15304216356300201}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,7,together,True,"{""collaborating"": -3.8426513671875, ""conflict"": -2.87890625, ""together"": -1.83203125, ""working"": -4.26171875}","{""collaborating"": 0.0851273765971409, ""conflict"": 0.22316107054555634, ""together"": 0.6357267293530316, ""working"": 0.05598486017564599}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -5.08984375, ""unharmed"": -1.385664741198222}","{""hurt"": 0.02402882038059897, ""unharmed"": 0.9759711315396197}"
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -3.84375, ""wet"": -1.7890625}","{""dry"": 0.11357958663947365, ""wet"": 0.8864204745528925}"
