model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,0,silent,True,"{""conversation"": -2.458984375, ""silent"": -0.212890625}","{""conversation"": 0.09568693706704981, ""silent"": 0.9043130817216845}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,1,food,True,"{""food"": -0.465576171875, ""secret"": -1.4501953125}","{""food"": 0.7280238313761385, ""secret"": 0.2719762379623519}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,2,carpentry,True,"{""accuracy"": -2.498046875, ""carpentry"": -0.10149478912353516}","{""accuracy"": 0.08343599400832255, ""carpentry"": 0.9165639764887458}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,3,location,True,"{""indecision"": -1.7941055297851562, ""location"": -0.0992431640625}","{""indecision"": 0.1551374575334174, ""location"": 0.8448625296726342}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,4,disagree,False,"{""agree"": -1.677734375, ""agreed"": -4.08203125, ""disagree"": -0.81787109375, ""disagreed"": -3.71826171875}","{""agree"": 0.27908585545235437, ""agreed"": 0.02520954228936304, ""disagree"": 0.6594345801947568, ""disagreed"": 0.03627004218473342}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,5,animal,True,"{""animal"": -0.291748046875, ""secret"": -1.4169921875}","{""animal"": 0.7549601225376358, ""secret"": 0.2450398277544182}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,6,awake,True,"{""asleep"": -1.166015625, ""awake"": -0.74462890625}","{""asleep"": 0.39618498045591766, ""awake"": 0.6038150505229686}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,7,working,True,"{""collaborating"": -3.470703125, ""conflict"": -3.517578125, ""together"": -2.658203125, ""working"": -0.6123046875}","{""collaborating"": 0.04620788845551102, ""conflict"": 0.04409187518460932, ""together"": 0.1041310840781617, ""working"": 0.8055691340296257}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,8,hurt,False,"{""hurt"": -0.07293701171875, ""unharmed"": -0.16552607218424478}","{""hurt"": 0.5231307287535871, ""unharmed"": 0.47686923453681535}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,9,wet,True,"{""dry"": -0.04229736328125, ""wet"": -0.0013179779052734375}","{""dry"": 0.4897566014095436, ""wet"": 0.5102434277984887}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,10,platonic,True,"{""platonic"": -0.405062198638916, ""romantic"": -0.6845703125}","{""platonic"": 0.5694256256666131, ""romantic"": 0.43057437133149085}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,11,yes,True,"{""no"": -3.146484375, ""yes"": -0.380615234375}","{""no"": 0.05919665570373567, ""yes"": 0.9408033423666196}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,12,bad,True,"{""bad"": -0.25732421875, ""good"": -1.5859375}","{""bad"": 0.7906111401755346, ""good"": 0.20938884065239055}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,13,sportsman,True,"{""career"": -6.484375, ""sportsman"": -0.008701324462890625}","{""career"": 0.0015380915168216004, ""sportsman"": 0.9984619466866096}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,14,object,True,"{""object"": -0.36865234375, ""reality"": -3.322265625}","{""object"": 0.9504339371647905, ""reality"": 0.04956601585187165}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,15,object,True,"{""object"": -0.494873046875, ""success"": -1.6826171875}","{""object"": 0.7663373954629445, ""success"": 0.23366265408983564}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,16,yes,False,"{""no"": -6.05859375, ""yes"": -0.57275390625}","{""no"": 0.004127941567357719, ""yes"": 0.9958721001591144}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,17,yes,False,"{""no"": -5.55859375, ""yes"": -0.43310546875}","{""no"": 0.005908200743650248, ""yes"": 0.9940918074512739}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,18,no,True,"{""no"": -0.2392578125, ""yes"": -3.86328125}","{""no"": 0.9740179719134598, ""yes"": 0.025982062010272526}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,19,owner,True,"{""handyman"": -2.4137134552001953, ""owner"": -0.10479736328125}","{""handyman"": 0.09038721671701437, ""owner"": 0.9096127538055041}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,20,yes,False,"{""no"": -5.8203125, ""yes"": -0.43017578125}","{""no"": 0.004540638433993529, ""yes"": 0.9954594059703}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,21,yes,False,"{""disputed"": -3.126953125, ""no"": -0.9560546875, ""yes"": -0.6591796875}","{""disputed"": 0.0463772290509765, ""no"": 0.40654999235628714, ""yes"": 0.547072811327998}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,22,yes,False,"{""no"": -3.77734375, ""uncertain"": -3.82421875, ""yes"": -0.26123046875}","{""no"": 0.02808391172684688, ""uncertain"": 0.02679785577624755, ""yes"": 0.9451182649985997}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,23,no,True,"{""no"": -0.159912109375, ""yes"": -2.83203125}","{""no"": 0.9353612768399419, ""yes"": 0.06463871983720387}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,24,yes,False,"{""no"": -1.658203125, ""yes"": -0.939453125}","{""no"": 0.32766831655649303, ""yes"": 0.6723316913929156}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,25,yes,True,"{""no"": -6.42578125, ""yes"": -1.505859375}","{""no"": 0.007246801555803673, ""yes"": 0.9927531885162982}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,26,yes,True,"{""no"": -4.40234375, ""yes"": -0.775390625}","{""no"": 0.02590801827864357, ""yes"": 0.974091938059694}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,27,no,True,"{""no"": -1.0595703125, ""yes"": -1.0908203125}","{""no"": 0.5078118607898338, ""yes"": 0.49218813233878156}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,28,yes,False,"{""no"": -5.6171875, ""yes"": -0.9755859375}","{""no"": 0.00955015940055044, ""yes"": 0.9904498453787163}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,29,no,True,"{""no"": -0.95751953125, ""yes"": -1.44140625}","{""no"": 0.6186652201939868, ""yes"": 0.38133473839868837}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,30,color,True,"{""belief"": -0.8876953125, ""color"": -0.7001953125}","{""belief"": 0.45326185397243934, ""color"": 0.5467381591701916}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,31,water,True,"{""enthusiasm"": -2.384765625, ""water"": -0.353515625}","{""enthusiasm"": 0.1159607134579253, ""water"": 0.884039271529307}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,32,yes,False,"{""no"": -7.7265625, ""yes"": -4.3046875}","{""no"": 0.031618771886642326, ""yes"": 0.9683813741657576}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,33,credits,False,"{""credits"": -0.7822265625, ""lightning"": -1.0634765625}","{""credits"": 0.5698526203047721, ""lightning"": 0.4301473251032471}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,34,light,True,"{""innovation"": -0.86767578125, ""light"": -0.72705078125}","{""innovation"": 0.4649015669717057, ""light"": 0.5350984235603058}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,35,no,True,"{""no"": -0.2301025390625, ""yes"": -3.68359375}","{""no"": 0.9693350464202884, ""yes"": 0.030664916332503803}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,36,physical,True,"{""financial"": -1.4365234375, ""physical"": -0.326904296875}","{""financial"": 0.24794190509604422, ""physical"": 0.7520580957112516}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,37,mark,True,"{""mark"": -0.1881103515625, ""standard"": -3.15625}","{""mark"": 0.9511138135934472, ""standard"": 0.04888614801881685}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,38,dead,False,"{""alive"": -5.3359375, ""dead"": -0.1334228515625}","{""alive"": 0.005472596525425499, ""dead"": 0.9945274086560452}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,39,yes,False,"{""no"": -1.6162109375, ""yes"": -0.83544921875}","{""no"": 0.3141557619961626, ""yes"": 0.6858442829485791}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,40,pass,False,"{""create"": -3.4921875, ""exam"": -3.8515625, ""pass"": -0.99169921875, ""scoring"": -7.799943923950195, ""system"": -7.8203125}","{""create"": 0.07187414137350738, ""exam"": 0.05017623724325058, ""pass"": 0.8760338353148774, ""scoring"": 0.0009676935029647946, ""system"": 0.0009481823460576585}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,41,trend,False,"{""emotion"": -0.2186279296875, ""trend"": -0.0452880859375}","{""emotion"": 0.4567732129309238, ""trend"": 0.5432267714209049}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,42,no,True,"{""no"": -0.67236328125, ""yes"": -1.078125}","{""no"": 0.6000711660240137, ""yes"": 0.3999288032827967}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,43,no,True,"{""no"": -1.2119140625, ""yes"": -2.822265625}","{""no"": 0.8334601091302065, ""yes"": 0.16653979320175077}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,44,movement,True,"{""movement"": -0.021636962890625, ""progress"": -3.25390625}","{""movement"": 0.9620307521675201, ""progress"": 0.037969266896816435}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,45,see,True,"{""acquire"": -2.39453125, ""see"": -0.27001953125}","{""acquire"": 0.10673712674968684, ""see"": 0.8932628303613485}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,46,say,False,"{""leave"": -1.2861328125, ""leaving"": -0.7705078125, ""obvious"": -5.81640625, ""say"": -0.71484375, ""saying"": -0.77734375}","{""leave"": 0.16341774978761422, ""leaving"": 0.27367323024990364, ""obvious"": 0.0017612725812108435, ""say"": 0.2893389582783594, ""saying"": 0.27180879698753413}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,47,escape,False,"{""escape"": -1.23828125, ""give"": -3.67578125, ""giving"": -3.3828125, ""paper"": -3.01953125, ""piece"": -3.30078125}","{""escape"": 0.666637727220917, ""give"": 0.058250155429692016, ""giving"": 0.0780785608941029, ""paper"": 0.11228011332083229, ""piece"": 0.08475347605037768}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,48,radio,True,"{""frequency"": -1.2216796875, ""opinions"": -9.216796875, ""radio"": -0.5498046875, ""sharing"": -8.28125}","{""frequency"": 0.33794044500665654, ""opinions"": 0.0001139212902164234, ""radio"": 0.6616552907971306, ""sharing"": 0.00029034058015854484}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,few_shot,think,few_shot_think,49,durability,True,"{""durability"": -0.0058956146240234375, ""kindness"": -3.560546875}","{""durability"": 0.9722033498939902, ""kindness"": 0.027796598142435885}"
