model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,0,conversation,False,"{""conversation"": -6.05859375, ""silent"": -7.6923828125}","{""conversation"": 0.836687868169328, ""silent"": 0.1633119247812769}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -5.4375, ""secret"": -10.9375}","{""food"": 0.9959299171164774, ""secret"": 0.004070137939983506}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -5.6640625, ""carpentry"": -3.2667922973632812}","{""accuracy"": 0.08338108836154641, ""carpentry"": 0.9166188417847729}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -2.45831298828125, ""location"": -3.796875}","{""indecision"": 0.7922532683283917, ""location"": 0.20774660923257143}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,4,disagreed,False,"{""agree"": -6.66796875, ""agreed"": -6.966552734375, ""disagree"": -6.728515625, ""disagreed"": -5.399251302083333}","{""agree"": 0.16027167523172725, ""agreed"": 0.11890042298021632, ""disagree"": 0.15085565772107315, ""disagreed"": 0.5699722266587532}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,5,animal,True,"{""animal"": -6.7734375, ""secret"": -11.7734375}","{""animal"": 0.993307199525929, ""secret"": 0.006692851264215723}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -4.81304931640625, ""awake"": -6.0955810546875}","{""asleep"": 0.7828804354252594, ""awake"": 0.21711957647675273}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -6.087890625, ""conflict"": -5.641609191894531, ""together"": -8.7734375, ""working"": -7.2734375}","{""collaborating"": 0.3405699949832227, ""conflict"": 0.5321376001863959, ""together"": 0.023221389026881655, ""working"": 0.10407104539984378}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -5.35400390625, ""unharmed"": -2.2579610347747803}","{""hurt"": 0.04327078322070351, ""unharmed"": 0.9567293363570223}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,9,dry,False,"{""dry"": -3.208984375, ""wet"": -3.208984375}","{""dry"": 0.49999999904767284, ""wet"": 0.49999999904767284}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,10,platonic,True,"{""platonic"": -3.167327880859375, ""romantic"": -4.52734375}","{""platonic"": 0.7957622423558861, ""romantic"": 0.2042377142906399}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -4.61328125, ""yes"": -3.11328125}","{""no"": 0.18242550282051248, ""yes"": 0.8175743821416167}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,12,good,False,"{""bad"": -5.8984375, ""good"": -5.3984375}","{""bad"": 0.3775405779802431, ""good"": 0.6224591814684473}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -6.4671630859375, ""sportsman"": -3.313079833984375}","{""career"": 0.04093068847422306, ""sportsman"": 0.9590693268944614}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,14,reality,False,"{""object"": -8.109375, ""reality"": -6.2613525390625}","{""object"": 0.13610527776540315, ""reality"": 0.8638949263847101}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,15,success,False,"{""object"": -8.6015625, ""success"": -7.59765625}","{""object"": 0.26817414433674436, ""success"": 0.7318260226877382}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,16,yes,False,"{""no"": -4.23828125, ""yes"": -3.736328125}","{""no"": 0.377081792253932, ""yes"": 0.6229182214850439}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,17,yes,False,"{""no"": -3.966796875, ""yes"": -2.966796875}","{""no"": 0.2689414052760013, ""yes"": 0.7310585348819939}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,18,yes,False,"{""no"": -4.09765625, ""yes"": -3.09765625}","{""no"": 0.2689414052760013, ""yes"": 0.7310585348819939}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,19,handyman,False,"{""handyman"": -5.49346923828125, ""owner"": -8.90625}","{""handyman"": 0.9681015878968452, ""owner"": 0.03189841321974258}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,20,yes,False,"{""no"": -3.857421875, ""yes"": -3.357421875}","{""no"": 0.377540667992942, ""yes"": 0.6224593298742985}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,21,yes,False,"{""disputed"": -7.550048828125, ""no"": -4.171875, ""yes"": -3.671875}","{""disputed"": 0.012714063942785911, ""no"": 0.3727405517655481, ""yes"": 0.6145452761483613}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,22,yes,False,"{""no"": -3.37109375, ""uncertain"": -7.4683837890625, ""yes"": -2.87109375}","{""no"": 0.37518682297109657, ""uncertain"": 0.0062347209269548775, ""yes"": 0.6185784955188504}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,23,yes,False,"{""no"": -4.59375, ""yes"": -4.09375}","{""no"": 0.377540667992942, ""yes"": 0.6224593298742985}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,24,no,True,"{""no"": -3.951171875, ""yes"": -3.951171875}","{""no"": 0.49999999904767284, ""yes"": 0.49999999904767284}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,25,yes,True,"{""no"": -4.34375, ""yes"": -3.34375}","{""no"": 0.2689414052760013, ""yes"": 0.7310585348819939}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,26,no,False,"{""no"": -3.5234375, ""yes"": -3.5234375}","{""no"": 0.49999999904767284, ""yes"": 0.49999999904767284}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,27,yes,False,"{""no"": -4.34765625, ""yes"": -2.845703125}","{""no"": 0.1821344149772748, ""yes"": 0.8178656518475018}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,28,no,True,"{""no"": -4.50390625, ""yes"": -4.50390625}","{""no"": 0.49999999904767284, ""yes"": 0.49999999904767284}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,zero_shot,standard,zero_shot_standard,29,yes,False,"{""no"": -3.38671875, ""yes"": -2.88671875}","{""no"": 0.377540667992942, ""yes"": 0.6224593298742985}"
