model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -2.732421875, ""silent"": -0.0247955322265625}","{""conversation"": 0.06252482978922694, ""silent"": 0.9374751177814711}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -1.408203125, ""secret"": -1.603515625}","{""food"": 0.5486735314958866, ""secret"": 0.4513265360905533}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -1.5361328125, ""carpentry"": -0.746002197265625}","{""accuracy"": 0.31214061155845324, ""carpentry"": 0.6878593675395738}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -1.049102783203125, ""location"": -1.96875}","{""indecision"": 0.7149701923119175, ""location"": 0.28502977142516}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -1.1796875, ""agreed"": -3.62109375, ""disagree"": -3.0703125, ""disagreed"": -3.7062174479166665}","{""agree"": 0.7587531685348531, ""agreed"": 0.06604064117958991, ""disagree"": 0.11455460145862374, ""disagreed"": 0.06065163242783344}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,5,animal,True,"{""animal"": -1.3134765625, ""secret"": -1.6416015625}","{""animal"": 0.5813030649269245, ""secret"": 0.41869689083214645}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -0.6796875, ""awake"": -1.90625}","{""asleep"": 0.7732163648437078, ""awake"": 0.22678362126257495}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,7,working,True,"{""collaborating"": -3.5865071614583335, ""conflict"": -2.435546875, ""together"": -3.435546875, ""working"": -2.029296875}","{""collaborating"": 0.09930741613802548, ""conflict"": 0.31393327377264285, ""together"": 0.11548959732060125, ""working"": 0.4712696612688522}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,8,hurt,False,"{""hurt"": -0.01160430908203125, ""unharmed"": -0.32680702209472656}","{""hurt"": 0.5781546709235776, ""unharmed"": 0.4218453242422071}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.0439453125, ""wet"": -0.0014314651489257812}","{""dry"": 0.48937314257740133, ""wet"": 0.5106268653038217}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,10,platonic,True,"{""platonic"": -0.742218017578125, ""romantic"": -1.091796875}","{""platonic"": 0.5865154417912931, ""romantic"": 0.41348454555107783}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,11,yes,True,"{""no"": -3.3984375, ""yes"": -1.8115234375}","{""no"": 0.16981850398626017, ""yes"": 0.8301814618451671}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,12,good,False,"{""bad"": -2.087890625, ""good"": -0.900390625}","{""bad"": 0.23370636229413894, ""good"": 0.7662936607266241}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,13,sportsman,True,"{""career"": -3.490234375, ""sportsman"": -0.083953857421875}","{""career"": 0.03209975414097106, ""sportsman"": 0.9679001880884706}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,14,object,True,"{""object"": -2.404296875, ""reality"": -3.744140625}","{""object"": 0.7924642842079895, ""reality"": 0.20753576525452788}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,15,object,True,"{""object"": -2.509765625, ""success"": -2.791015625}","{""object"": 0.5698526542706361, ""success"": 0.43014735074202637}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,16,yes,False,"{""no"": -2.84765625, ""yes"": -1.2548828125}","{""no"": 0.16899405281803917, ""yes"": 0.8310059554016402}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,17,yes,False,"{""no"": -3.076171875, ""yes"": -1.7314453125}","{""no"": 0.20673385608088243, ""yes"": 0.7932661655206427}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,18,yes,False,"{""no"": -3.1640625, ""yes"": -0.75830078125}","{""no"": 0.08273440107645334, ""yes"": 0.9172656173818081}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,zero_shot,standard,zero_shot_standard,19,owner,True,"{""handyman"": -2.6093788146972656, ""owner"": -1.05859375}","{""handyman"": 0.17497290818962166, ""owner"": 0.8250270851588949}"
