model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -4.515625, ""silent"": -0.50390625}","{""conversation"": 0.0177803872109425, ""silent"": 0.9822195689054267}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -3.056640625, ""secret"": -5.30859375}","{""food"": 0.9048187360063624, ""secret"": 0.09518111087512701}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -3.904296875, ""carpentry"": -2.222412109375}","{""accuracy"": 0.15684606613143418, ""carpentry"": 0.843153997704935}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -1.5767822265625, ""location"": -3.376953125}","{""indecision"": 0.8581697233393064, ""location"": 0.14183026053221381}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -2.326171875, ""agreed"": -3.591796875, ""disagree"": -3.525177001953125, ""disagreed"": -3.2976481119791665}","{""agree"": 0.509663024244066, ""agreed"": 0.1437570569874779, ""disagree"": 0.1536603494488481, ""disagreed"": 0.19291958694068187}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -3.28515625, ""secret"": -2.80078125}","{""animal"": 0.3812195635933718, ""secret"": 0.6187804294217345}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,6,asleep,False,"{""asleep"": -2.271484375, ""awake"": -3.240234375}","{""asleep"": 0.7248702817948736, ""awake"": 0.275129725955546}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -4.090291341145833, ""conflict"": -4.03125, ""together"": -4.875, ""working"": -4.25}","{""collaborating"": 0.2967831244056043, ""conflict"": 0.3148332555767935, ""together"": 0.13540809591884187, ""working"": 0.2529756278039709}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,8,hurt,False,"{""hurt"": -0.016143798828125, ""unharmed"": -0.9336983362833658}","{""hurt"": 0.7145435888807214, ""unharmed"": 0.28545644887614874}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -0.051239013671875, ""wet"": -0.0207061767578125}","{""dry"": 0.492367412211876, ""wet"": 0.5076326456475633}"
