model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -1.6728515625, ""silent"": -0.0154266357421875}","{""conversation"": 0.16010796425546836, ""silent"": 0.8398920198127681}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.3642578125, ""secret"": -1.4111328125}","{""food"": 0.7401743851973469, ""secret"": 0.2598256460903223}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,2,accuracy,False,"{""accuracy"": -0.51611328125, ""carpentry"": -0.6340312957763672}","{""accuracy"": 0.5294454010804471, ""carpentry"": 0.47055461507674246}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -0.5957317352294922, ""location"": -0.459228515625}","{""indecision"": 0.4659270905116975, ""location"": 0.534072919687708}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.54931640625, ""agreed"": -2.041015625, ""disagree"": -2.021484375, ""disagreed"": -4.211995442708333}","{""agree"": 0.6756386166063989, ""agreed"": 0.15201193901678756, ""disagree"": 0.15501010586528768, ""disagreed"": 0.01733936044181842}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -0.329345703125, ""secret"": -1.5087890625}","{""animal"": 0.764847710820876, ""secret"": 0.23515229169336804}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,6,asleep,False,"{""asleep"": -0.290771484375, ""awake"": -1.822265625}","{""asleep"": 0.8222248099250015, ""awake"": 0.177775180897488}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -4.529073079427083, ""conflict"": -0.6103515625, ""together"": -6.1328125, ""working"": -1.7236328125}","{""collaborating"": 0.01469042148830905, ""conflict"": 0.7394579717825953, ""together"": 0.002954875211452786, ""working"": 0.2428966944062842}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,8,hurt,False,"{""hurt"": -0.004779815673828125, ""unharmed"": -0.4994951883951823}","{""hurt"": 0.6212166154973617, ""unharmed"": 0.37878337643803095}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.041015625, ""wet"": -0.00045490264892578125}","{""dry"": 0.4898612066847293, ""wet"": 0.5101387878155613}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,10,romantic,False,"{""platonic"": -0.617347240447998, ""romantic"": -0.409912109375}","{""platonic"": 0.44832636647627155, ""romantic"": 0.5516736153486911}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -1.3515625, ""yes"": -0.83251953125}","{""no"": 0.37307604708800735, ""yes"": 0.6269239536331936}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,12,bad,True,"{""bad"": -0.31640625, ""good"": -1.453125}","{""bad"": 0.7570766930950688, ""good"": 0.2429233060073945}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -2.015625, ""sportsman"": -0.0380401611328125}","{""career"": 0.12157652836511663, ""sportsman"": 0.8784235021734799}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,14,object,True,"{""object"": -0.44580078125, ""reality"": -2.0234375}","{""object"": 0.8288695263683454, ""reality"": 0.17113043392464938}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -0.41259765625, ""success"": -2.021484375}","{""object"": 0.8332567269942299, ""success"": 0.16674323285740977}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -2.537109375, ""yes"": -0.43896484375}","{""no"": 0.10927728688413206, ""yes"": 0.8907226765609895}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -1.888671875, ""yes"": -1.380859375}","{""no"": 0.3757064708790969, ""yes"": 0.6242935409575079}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,18,yes,False,"{""no"": -1.0166015625, ""yes"": -0.78271484375}","{""no"": 0.4417934165732124, ""yes"": 0.5582065796255303}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -2.8456363677978516, ""owner"": -0.08453369140625}","{""handyman"": 0.05946267165917869, ""owner"": 0.9405373016923871}"
Olmo-3-7B-Base,allenai/Olmo-3-1025-7B,few_shot,standard,few_shot_standard,20,no,True,"{""no"": -0.8115234375, ""yes"": -1.3193359375}","{""no"": 0.6242935409575079, ""yes"": 0.3757064708790969}"
