Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, Silent
False,Is this statement about food or a secret?, secret
True,Is this statement about carpentry or accuracy?, carpentry
True,Is the statement about location or indecision?, Location
True,Did Rui agree or disagree to play volleyball?, Agree
False,Is this statement about an animal or a secret?, secret
False,Is the acrobat asleep or awake?, asleep
True,Are the campers in conflict or working together?, working
True,Is Jane hurt or unharmed?, Unharmed
True,Are Jane's keys wet or dry?, wet
True,Did Alex and Jane have a platonic or romantic relationship?, platonic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, Sportsman
True,Is she trying to grip an object or reality?, Object
False,Is the choice about the object or the success?, Success
False,Did the tour guide drive for many hours?, Yes
False,Is the course finished?, Yes
False,Was Jane going through a time of hardship?, Yes
True,Was Jack an owner or a handyman?, Owner
False,Is the fish hook in a highly precarious state?, Yes
False,Was the land disputed?, Disputed
False,Was there some uncertainty in the form?, Yes
False,Was Jack in trouble?, Yes
False,Was that paragraph something that absolutely could not be considered?, Yes
True,Was the rabbit constantly jumping?, Yes
True,Are they talking about an animal?, Yes
False,Is the statement a summary of a very complex idea?, Yes
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
False,Is this statement about belief or about color?, belief
False,Was the object lacking water or enthusiasm?, enthusiasm
False,Was Jane preparing to deal with the consequences of her actions?, Yes
False,Was Luke trying to steal Zeus's lightning or credits?, credits
False,Is the statement about innovation or light?, Innovation
False,Did the apple change the outcome of an important decision?, Yes
False,Was Jane experiencing financial or physical strain?, Financial
False,Is the action about the mark or the standard?, Standard
False,Is Jaime dead or alive?, dead
False,Does Joe pay the bills all day?, Yes
False,Did Alice pass an exam or create a scoring system?, pass
True,Is the statement describing an emotion or a trend?, Emotion
True,Do the two soldiers need to always be together?, No
True,Is the cat fighting?, No
False,Is the sentence describing an object’s movement or progress?, Progress
True,Does Jack want to see or acquire the Eiffel Tower?, see
False,Is this statement about Jane saying something obvious or leaving?, obvious
False,Is Jane giving Jack a piece of paper or trying to escape from him?, escape
False,Are the aliens receiving a radio frequency or sharing similar opinions?, receiving
False,Is the heart valued for its durability or for its kindness?, kindness
