model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -3.42578125, ""silent"": -2.66796875}","{""conversation"": 0.31912136925585083, ""silent"": 0.6808785831877406}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -2.8828125, ""secret"": -3.3046875}","{""food"": 0.6039318499573872, ""secret"": 0.39606817691887264}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -2.451171875, ""carpentry"": -1.1011403401692708}","{""accuracy"": 0.2058652388737983, ""carpentry"": 0.7941348392726068}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -1.61859130859375, ""location"": -3.22265625}","{""indecision"": 0.8325857368668244, ""location"": 0.16741424706899619}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,4,disagree,False,"{""agree"": -3.201171875, ""agreed"": -4.5, ""disagree"": -2.8413213094075522, ""disagreed"": -3.2117919921875}","{""agree"": 0.27060649341201476, ""agreed"": 0.07383534797572053, ""disagree"": 0.3878103210676559, ""disagreed"": 0.2677478272931595}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -3.759765625, ""secret"": -2.712890625}","{""animal"": 0.2598256460903223, ""secret"": 0.7401743851973469}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,6,awake,True,"{""asleep"": -3.15625, ""awake"": -2.9375}","{""asleep"": 0.4455295488668105, ""awake"": 0.5544704821687028}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -3.713134765625, ""conflict"": -3.603515625, ""together"": -4.171875, ""working"": -4.25}","{""collaborating"": 0.30007410600330586, ""conflict"": 0.3348385933387571, ""together"": 0.18967066570333535, ""working"": 0.17541669007765723}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -4.20703125, ""unharmed"": -1.034393588701884}","{""hurt"": 0.04020849732404763, ""unharmed"": 0.9597914780875233}"
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -3.13671875, ""wet"": -2.95703125}","{""dry"": 0.45519863332127225, ""wet"": 0.5448014304301324}"
