model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -1.916015625, ""silent"": -1.095703125}","{""conversation"": 0.3056973244178613, ""silent"": 0.6943026611084756}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,1,secret,False,"{""food"": -2.115234375, ""secret"": -1.0146484375}","{""food"": 0.24963012808425447, ""secret"": 0.7503698456918764}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -1.6318359375, ""carpentry"": -0.573150634765625}","{""accuracy"": 0.2575607480521996, ""carpentry"": 0.742439190781099}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -0.67413330078125, ""location"": -1.9990234375}","{""indecision"": 0.7899941378662262, ""location"": 0.2100058626895218}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.405029296875, ""agreed"": -4.34375, ""disagree"": -3.146484375, ""disagreed"": -5.39306640625}","{""agree"": 0.916784755188016, ""agreed"": 0.017852650500216633, ""disagree"": 0.05911103412509565, ""disagreed"": 0.006251588418132008}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -2.75, ""secret"": -0.257080078125}","{""animal"": 0.07635602357083614, ""secret"": 0.9236440224312491}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,6,asleep,False,"{""asleep"": -0.9521484375, ""awake"": -1.3974609375}","{""asleep"": 0.609524163446336, ""awake"": 0.3904758496342266}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -3.8668212890625, ""conflict"": -1.2138671875, ""together"": -3.22265625, ""working"": -3.28515625}","{""collaborating"": 0.05293996594473147, ""conflict"": 0.7515310576406061, ""together"": 0.1008186736133731, ""working"": 0.09471037896793098}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -1.1962890625, ""unharmed"": -0.6329200267791748}","{""hurt"": 0.3627682790520354, ""unharmed"": 0.6372317130869903}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.509765625, ""wet"": -0.415771484375}","{""dry"": 0.25086689844541876, ""wet"": 0.7491330870349804}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -0.32484471797943115, ""romantic"": -2.1328125}","{""platonic"": 0.8591160888763711, ""romantic"": 0.14088392434567404}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -2.498046875, ""yes"": -2.013671875}","{""no"": 0.3812195635933718, ""yes"": 0.6187804294217345}"
Pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -1.2509765625, ""good"": -0.75927734375}","{""bad"": 0.379493350398119, ""good"": 0.6205066324233859}"
