Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, Silent
True,Is this statement about food or a secret?, Food
True,Is this statement about carpentry or accuracy?, Carpentry
True,Is the statement about location or indecision?, Location
True,Did Rui agree or disagree to play volleyball?, Agree
True,Is this statement about an animal or a secret?, Animal
True,Is the acrobat asleep or awake?, Awake
False,Are the campers in conflict or working together?, Conflict
True,Is Jane hurt or unharmed?, Unharmed
True,Are Jane's keys wet or dry?, Wet
False,Did Alex and Jane have a platonic or romantic relationship?, Romantic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, Bad
True,Is Andy a sportsman or a career guy?, Sportsman
