model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -1.5556640625, ""silent"": -1.3603515625}","{""conversation"": 0.4513265360905533, ""silent"": 0.5486735314958866}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -1.9462890625, ""secret"": -3.296875}","{""food"": 0.794225441955882, ""secret"": 0.2057746041966427}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -2.720703125, ""carpentry"": -1.349853515625}","{""accuracy"": 0.20248259823762627, ""carpentry"": 0.7975173242336105}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -0.7567138671875, ""location"": -2.017578125}","{""indecision"": 0.779174833549337, ""location"": 0.22082514652996832}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.57958984375, ""agreed"": -2.408203125, ""disagree"": -2.431640625, ""disagreed"": -4.4326171875}","{""agree"": 0.7469561315572745, ""agreed"": 0.11998817972052321, ""disagree"": 0.11720865653100981, ""disagreed"": 0.01584697982237875}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -1.5869140625, ""secret"": -1.0166015625}","{""animal"": 0.36116470682928536, ""secret"": 0.6388352560545881}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -2.16796875, ""awake"": -0.3173828125}","{""asleep"": 0.1358041182446215, ""awake"": 0.8641959118038331}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -3.86212158203125, ""conflict"": -1.2568359375, ""together"": -3.515625, ""working"": -1.8974609375}","{""collaborating"": 0.043324390288597185, ""conflict"": 0.5863995640070537, ""together"": 0.061265222218544364, ""working"": 0.3090108554121752}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -3.10546875, ""unharmed"": -0.635829488436381}","{""hurt"": 0.07801417824005864, ""unharmed"": 0.9219858568339966}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.12890625, ""wet"": -0.78564453125}","{""dry"": 0.4150173785539865, ""wet"": 0.5849826063984581}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -0.46253395080566406, ""romantic"": -1.4306640625}","{""platonic"": 0.7247466162129177, ""romantic"": 0.27525336946420326}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -2.203125, ""yes"": -1.5234375}","{""no"": 0.3363310510058042, ""yes"": 0.6636689432841575}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -2.0703125, ""good"": -0.625}","{""bad"": 0.19072401871962588, ""good"": 0.8092759467152071}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -1.2939453125, ""sportsman"": -0.5729255676269531}","{""career"": 0.3271684816369764, ""sportsman"": 0.672831540920696}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,14,reality,False,"{""object"": -4.66796875, ""reality"": -0.9091796875}","{""object"": 0.022780886402992067, ""reality"": 0.9772190870823881}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,15,success,False,"{""object"": -2.736328125, ""success"": -1.134765625}","{""object"": 0.16776336498298242, ""success"": 0.8322366913037652}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -2.19140625, ""yes"": -0.8076171875}","{""no"": 0.2004011535487266, ""yes"": 0.7995988688059352}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -2.30859375, ""yes"": -1.21484375}","{""no"": 0.2509127779299181, ""yes"": 0.749087186378978}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -1.2880859375, ""yes"": -1.3037109375}","{""no"": 0.503906199448032, ""yes"": 0.4960938579415243}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -0.9807529449462891, ""owner"": -0.6611328125}","{""handyman"": 0.4207683280754689, ""owner"": 0.5792316738303075}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,20,no,True,"{""no"": -1.1708984375, ""yes"": -1.7568359375}","{""no"": 0.6424324795497967, ""yes"": 0.35756752343921544}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,21,yes,False,"{""disputed"": -4.05859375, ""no"": -1.4638671875, ""yes"": -0.86962890625}","{""disputed"": 0.02586905867437449, ""no"": 0.3464623144333774, ""yes"": 0.6276686269507689}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,22,no,True,"{""no"": -0.62451171875, ""uncertain"": -4.624364852905273, ""yes"": -1.7490234375}","{""no"": 0.7445299108843059, ""uncertain"": 0.013638541033582707, ""yes"": 0.24183153277354352}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,23,yes,False,"{""no"": -1.4013671875, ""yes"": -1.0732421875}","{""no"": 0.41869689083214645, ""yes"": 0.5813030649269245}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,24,no,True,"{""no"": -1.6064453125, ""yes"": -2.091796875}","{""no"": 0.6190107646611045, ""yes"": 0.3809892274962989}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,25,yes,True,"{""no"": -1.8857421875, ""yes"": -1.3310546875}","{""no"": 0.3647775529910859, ""yes"": 0.6352224318508648}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,26,yes,True,"{""no"": -2.08203125, ""yes"": -1.45703125}","{""no"": 0.3486451328151311, ""yes"": 0.651354859960289}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,27,yes,False,"{""no"": -1.8427734375, ""yes"": -1.5537109375}","{""no"": 0.4282334048715079, ""yes"": 0.5717666110200305}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,28,yes,False,"{""no"": -1.8271484375, ""yes"": -1.0927734375}","{""no"": 0.3242353775649097, ""yes"": 0.6757645966628892}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,29,yes,False,"{""no"": -2.681640625, ""yes"": -1.5810546875}","{""no"": 0.24963012808425447, ""yes"": 0.7503698904174059}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,30,belief,False,"{""belief"": -0.85302734375, ""color"": -1.4150390625}","{""belief"": 0.6369178883985396, ""color"": 0.3630821164873485}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,31,enthusiasm,False,"{""enthusiasm"": -1.0107421875, ""water"": -2.12109375}","{""enthusiasm"": 0.7521946709940988, ""water"": 0.24780535991157085}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,32,yes,False,"{""no"": -3.107421875, ""yes"": -1.5693359375}","{""no"": 0.17681370326112655, ""yes"": 0.8231863410135868}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,33,lightning,True,"{""credits"": -3.896484375, ""lightning"": -1.708984375}","{""credits"": 0.10087861577870624, ""lightning"": 0.8991213153132328}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,34,light,True,"{""innovation"": -2.890625, ""light"": -0.81201171875}","{""innovation"": 0.11119294088483832, ""light"": 0.8888070584106408}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,35,yes,False,"{""no"": -1.6484375, ""yes"": -1.1640625}","{""no"": 0.3812195635933718, ""yes"": 0.6187804294217345}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,36,financial,False,"{""financial"": -1.59765625, ""physical"": -2.18359375}","{""financial"": 0.6424324795497967, ""physical"": 0.35756752343921544}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,37,standard,False,"{""mark"": -1.4189453125, ""standard"": -0.9736328125}","{""mark"": 0.3904758496342266, ""standard"": 0.609524163446336}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,38,alive,True,"{""alive"": -0.689453125, ""dead"": -1.728515625}","{""alive"": 0.7386690514293897, ""dead"": 0.26133090978591794}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,39,no,True,"{""no"": -1.3466796875, ""yes"": -1.3466796875}","{""no"": 0.49999999904767284, ""yes"": 0.49999999904767284}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,40,pass,False,"{""create"": -2.0625, ""exam"": -3.0703125, ""pass"": -2.015625, ""scoring"": -4.0859375, ""system"": -5.4765625}","{""create"": 0.38788032050189747, ""exam"": 0.1415827482900431, ""pass"": 0.4064950857453161, ""scoring"": 0.05127787331455543, ""system"": 0.01276406883506931}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,41,emotion,True,"{""emotion"": -3.373046875, ""trend"": -3.724609375}","{""emotion"": 0.5869964306477841, ""trend"": 0.4130035708879449}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,42,no,True,"{""no"": -0.8076171875, ""yes"": -1.5654296875}","{""no"": 0.6808785831877406, ""yes"": 0.31912136925585083}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,43,yes,False,"{""no"": -2.978515625, ""yes"": -2.501953125}","{""no"": 0.3830641674147837, ""yes"": 0.6169358292808838}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,44,progress,False,"{""movement"": -1.255859375, ""progress"": -1.193359375}","{""movement"": 0.48438007374066205, ""progress"": 0.5156199045071589}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,45,see,True,"{""acquire"": -2.1640625, ""see"": -0.64892578125}","{""acquire"": 0.18017878419491262, ""see"": 0.819821195834637}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,46,leave,True,"{""leave"": -2.5078125, ""leaving"": -3.09375, ""obvious"": -3.1875, ""say"": -5.53125, ""saying"": -5.4830322265625}","{""leave"": 0.4623146091967947, ""leaving"": 0.2573168311417124, ""obvious"": 0.23428964091200577, ""say"": 0.02248409412885425, ""saying"": 0.023594789530516223}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,47,escape,False,"{""escape"": -1.3427734375, ""give"": -3.59375, ""giving"": -7.2578125, ""paper"": -1.5068359375, ""piece"": -4.0234375}","{""escape"": 0.4937780154313997, ""give"": 0.05199302379663984, ""giving"": 0.0013324865902513223, ""paper"": 0.4190639588613119, ""piece"": 0.033832505848151825}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,48,radio,True,"{""frequency"": -3.328125, ""opinions"": -2.9375, ""radio"": -1.6962890625, ""sharing"": -4.3984375}","{""frequency"": 0.12603891027438513, ""opinions"": 0.186273412074115, ""radio"": 0.64446885006462, ""sharing"": 0.04321891172985239}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,few_shot,standard,few_shot_standard,49,kindness,False,"{""durability"": -2.3386154174804688, ""kindness"": -0.8505859375}","{""durability"": 0.18421766149280017, ""kindness"": 0.8157823088188141}"
