model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -4.74609375, ""silent"": -0.0019626617431640625}","{""conversation"": 0.008627537356262174, ""silent"": 0.9913724466772998}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.921875, ""secret"": -1.15625}","{""food"": 0.5583270029132659, ""secret"": 0.4416730124502962}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -1.4306640625, ""carpentry"": -0.4450263977050781}","{""accuracy"": 0.2717745824880624, ""carpentry"": 0.7282254442649148}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -1.144744873046875, ""location"": -0.37451171875}","{""indecision"": 0.3164286759032404, ""location"": 0.6835713145892749}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -1.0263671875, ""agreed"": -2.212890625, ""disagree"": -2.150390625, ""disagreed"": -4.222585042317708}","{""agree"": 0.5983842291274294, ""agreed"": 0.18267519649858535, ""disagree"": 0.19445673445447526, ""disagreed"": 0.024483884291278114}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -2.552734375, ""secret"": -0.333251953125}","{""animal"": 0.09801456127469732, ""secret"": 0.9019854458730524}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,6,asleep,False,"{""asleep"": -0.94140625, ""awake"": -1.28515625}","{""asleep"": 0.5851011336505011, ""awake"": 0.4148988312227009}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -5.195638020833333, ""conflict"": -0.73486328125, ""together"": -4.328125, ""working"": -1.640625}","{""collaborating"": 0.008004879763754932, ""conflict"": 0.6928586954367638, ""together"": 0.019059473366652997, ""working"": 0.28007694997794785}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,8,hurt,False,"{""hurt"": -0.013397216796875, ""unharmed"": -0.5604699452718099}","{""hurt"": 0.6334561778840427, ""unharmed"": 0.3665438224672647}"
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.10479736328125, ""wet"": -0.00047278404235839844}","{""dry"": 0.4739424906218153, ""wet"": 0.5260575228406426}"
