model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -2.515625, ""silent"": -0.06951904296875}","{""conversation"": 0.07972377425459488, ""silent"": 0.9202762593778206}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -1.1767578125, ""secret"": -1.5673828125}","{""food"": 0.5964331434971528, ""secret"": 0.4035668518628089}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -2.78515625, ""carpentry"": -0.1087646484375}","{""accuracy"": 0.064380884238803, ""carpentry"": 0.935619060250377}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -4.543183445930481, ""location"": -0.06353759765625}","{""indecision"": 0.011210335506183557, ""location"": 0.9887896940053581}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.8115234375, ""agreed"": -4.2421875, ""disagree"": -4.0546875, ""disagreed"": -5.321614583333333}","{""agree"": 0.9238702510925896, ""agreed"": 0.029901469848195937, ""disagree"": 0.03606805743304332, ""disagreed"": 0.01016022305063359}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -1.3173828125, ""secret"": -0.56689453125}","{""animal"": 0.320714891270099, ""secret"": 0.6792850515712985}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,6,asleep,False,"{""asleep"": -0.363525390625, ""awake"": -2.41796875}","{""asleep"": 0.8863958142635229, ""awake"": 0.11360417747230407}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -3.4576009114583335, ""conflict"": -0.638671875, ""together"": -6.0390625, ""working"": -2.771484375}","{""collaborating"": 0.05045270616675527, ""conflict"": 0.845531381292181, ""together"": 0.0038174196799036684, ""working"": 0.10019846236922109}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,8,hurt,False,"{""hurt"": -0.00305938720703125, ""unharmed"": -0.561635414759318}","{""hurt"": 0.6361229974984473, ""unharmed"": 0.3638770075954033}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.009490966796875, ""wet"": -0.00028252601623535156}","{""dry"": 0.49769792969204457, ""wet"": 0.5023021177664293}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,10,romantic,False,"{""platonic"": -1.3086905479431152, ""romantic"": -0.2110595703125}","{""platonic"": 0.2501840364894055, ""romantic"": 0.7498159456608908}"
Olmo-3-7B-Think,allenai/Olmo-3-7B-Think,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -4.8046875, ""yes"": -0.431640625}","{""no"": 0.012455655032706512, ""yes"": 0.9875444073841896}"
