model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,0,silent,True,"{""conversation"": -15.9453125, ""silent"": -0.0002930164337158203}","{""conversation"": 1.188956377894086e-07, ""silent"": 0.9999998807907176}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,1,secret,False,"{""food"": -4.03515625, ""secret"": -0.0188446044921875}","{""food"": 0.01770035421255217, ""secret"": 0.9822996304189807}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,2,accuracy,False,"{""accuracy"": -0.0133819580078125, ""carpentry"": -6.078165233135223}","{""accuracy"": 0.9976821149260072, ""carpentry"": 0.0023178763873744073}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,3,location,True,"{""indecision"": -2.0488290190696716, ""location"": -0.051239013671875}","{""indecision"": 0.1194561776780227, ""location"": 0.8805438121219619}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,4,agree,True,"{""agree"": -0.83203125, ""agreed"": -1.30078125, ""disagree"": -1.31640625, ""disagreed"": -4.150940895080566}","{""agree"": 0.4389703409661579, ""agreed"": 0.2747006036938644, ""disagree"": 0.27044176557984423, ""disagreed"": 0.015887337115339118}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,5,animal,True,"{""animal"": -0.294189453125, ""secret"": -1.3720703125}","{""animal"": 0.7460927472302691, ""secret"": 0.2539072617044094}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,6,asleep,False,"{""asleep"": -0.0256805419921875, ""awake"": -3.775390625}","{""asleep"": 0.9770161617537375, ""awake"": 0.02298388195337309}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,7,conflict,False,"{""collaborating"": -7.798065185546875, ""conflict"": -0.006977081298828125, ""together"": -10.6953125, ""working"": -7.4765625}","{""collaborating"": 0.00041298728441661853, ""conflict"": 0.9989946470576715, ""together"": 2.2786517261363704e-05, ""working"": 0.0005695915298823887}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,8,unharmed,True,"{""hurt"": -0.042816162109375, ""unharmed"": -0.001938144365946452}","{""hurt"": 0.48978194051986457, ""unharmed"": 0.5102180944998085}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,9,wet,True,"{""dry"": -0.061767578125, ""wet"": -2.2411346435546875e-05}","{""dry"": 0.48456864003858363, ""wet"": 0.5154314206503001}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,10,romantic,False,"{""platonic"": -1.6787110567092896, ""romantic"": -0.0452880859375}","{""platonic"": 0.16336198544787528, ""romantic"": 0.8366380241061404}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,11,yes,True,"{""no"": -7.66796875, ""yes"": -0.089599609375}","{""no"": 0.0005111332134465109, ""yes"": 0.9994888569364256}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,12,bad,True,"{""bad"": -0.0003590583801269531, ""good"": -14.1171875}","{""bad"": 0.9999992847445185, ""good"": 7.398421987230182e-07}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,13,sportsman,True,"{""career"": -5.5078125, ""sportsman"": -9.453296661376953e-05}","{""career"": 0.004038972289309785, ""sportsman"": 0.9959609987355162}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,14,reality,False,"{""object"": -7.53515625, ""reality"": -0.001983642578125}","{""object"": 0.0005347519204449097, ""reality"": 0.9994652747994319}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,15,object,True,"{""object"": -0.31689453125, ""success"": -1.3486328125}","{""object"": 0.7372527719273877, ""success"": 0.26274724547517686}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,16,yes,False,"{""no"": -8.4921875, ""yes"": -0.16357421875}","{""no"": 0.00024144845105315916, ""yes"": 0.9997585409376253}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,17,yes,False,"{""no"": -4.05859375, ""yes"": -0.19921875}","{""no"": 0.020645929399682492, ""yes"": 0.979354034905987}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,few_shot,think,few_shot_think,18,no,True,"{""no"": -0.00040912628173828125, ""yes"": -13.21875}","{""no"": 0.9999982118622555, ""yes"": 1.8169654545856373e-06}"
