model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,0,silent,True,"{""conversation"": -5.28515625, ""silent"": -0.11376953125}","{""conversation"": 0.005644649054064839, ""silent"": 0.9943552937433959}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,1,secret,False,"{""food"": -4.546875, ""secret"": -1.814453125}","{""food"": 0.061087103804873526, ""secret"": 0.9389128391809192}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,2,carpentry,True,"{""accuracy"": -1.6474609375, ""carpentry"": -1.2607879638671875}","{""accuracy"": 0.404518484043235, ""carpentry"": 0.5954815495042431}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,3,location,True,"{""indecision"": -1.0179195404052734, ""location"": -0.97607421875}","{""indecision"": 0.4895401922744712, ""location"": 0.5104598004658577}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,4,agree,True,"{""agree"": -2.568359375, ""agreed"": -6.51947021484375, ""disagree"": -2.708984375, ""disagreed"": -4.832682291666667}","{""agree"": 0.5020209145369448, ""agreed"": 0.009655530135020726, ""disagree"": 0.4361633291085396, ""disagreed"": 0.052160155786475065}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,5,secret,False,"{""animal"": -6.9140625, ""secret"": -1.0849609375}","{""animal"": 0.0029320954945594845, ""secret"": 0.9970678248179413}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,6,awake,True,"{""asleep"": -2.02734375, ""awake"": -1.4033203125}","{""asleep"": 0.34886689362596407, ""awake"": 0.6511330198718839}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,7,conflict,False,"{""collaborating"": -5.736328125, ""conflict"": -1.1630859375, ""together"": -9.609375, ""working"": -5.3515625}","{""collaborating"": 0.010065659882504852, ""conflict"": 0.9749358630336696, ""together"": 0.00020931442476916783, ""working"": 0.01478917129983286}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,8,hurt,False,"{""hurt"": -0.01288604736328125, ""unharmed"": -0.6408704916636149}","{""hurt"": 0.6520322986366179, ""unharmed"": 0.3479676705403207}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,9,dry,False,"{""dry"": -0.004192352294921875, ""wet"": -0.0116424560546875}","{""dry"": 0.5018625283391844, ""wet"": 0.49813749360707626}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,10,platonic,True,"{""platonic"": -0.18458396196365356, ""romantic"": -3.855792999267578}","{""platonic"": 0.9751857129673344, ""romantic"": 0.024814272945148617}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,11,yes,True,"{""no"": -1.982421875, ""yes"": -1.419921875}","{""no"": 0.362969209322431, ""yes"": 0.6370308011545299}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,12,bad,True,"{""bad"": -0.76708984375, ""good"": -1.564453125}","{""bad"": 0.6894101809976992, ""good"": 0.3105898032673046}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,13,sportsman,True,"{""career"": -3.078125, ""sportsman"": -0.04026031494140625}","{""career"": 0.04574429535883079, ""sportsman"": 0.9542556971623122}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,14,reality,False,"{""object"": -9.375, ""reality"": -4.15625}","{""object"": 0.005384936804134089, ""reality"": 0.99461484821774}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,15,success,False,"{""object"": -5.484375, ""success"": -2.873046875}","{""object"": 0.068412908178145, ""success"": 0.9315870600433036}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,16,yes,False,"{""no"": -2.51953125, ""yes"": -0.44091796875}","{""no"": 0.11119294088483832, ""yes"": 0.8888070584106408}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,17,yes,False,"{""no"": -2.46875, ""yes"": -0.5625}","{""no"": 0.12940273096440916, ""yes"": 0.8705972901342965}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,18,no,True,"{""no"": -1.662109375, ""yes"": -2.802734375}","{""no"": 0.7577944123399276, ""yes"": 0.24220564185061352}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,19,handyman,False,"{""handyman"": -0.323883056640625, ""owner"": -2.46875}","{""handyman"": 0.8951880919161288, ""owner"": 0.10481186550091547}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,20,yes,False,"{""no"": -5.3359375, ""yes"": -1.271484375}","{""no"": 0.01688246871856828, ""yes"": 0.983117588791585}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,21,yes,False,"{""disputed"": -4.32421875, ""no"": -1.74609375, ""yes"": -1.23046875}","{""disputed"": 0.027599865964200256, ""no"": 0.36355689225946514, ""yes"": 0.608843220602252}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,22,no,True,"{""no"": -0.7177734375, ""uncertain"": -6.90234375, ""yes"": -0.9990234375}","{""no"": 0.569184190832521, ""uncertain"": 0.0011730814649974076, ""yes"": 0.4296427680664554}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,23,no,True,"{""no"": -1.0029296875, ""yes"": -2.548828125}","{""no"": 0.8243205400052197, ""yes"": 0.17567944894650359}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,24,no,True,"{""no"": -0.80419921875, ""yes"": -1.2578125}","{""no"": 0.611498008136938, ""yes"": 0.38850203835792785}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,25,no,False,"{""no"": -3.390625, ""yes"": -3.625}","{""no"": 0.5583270361921496, ""yes"": 0.44167303877606007}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,26,yes,True,"{""no"": -4.9921875, ""yes"": -2.6328125}","{""no"": 0.08632348157540598, ""yes"": 0.9136765762204092}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,27,yes,False,"{""no"": -2.51953125, ""yes"": -0.87841796875}","{""no"": 0.16231363649128175, ""yes"": 0.8376863718713591}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,28,yes,False,"{""no"": -5.1640625, ""yes"": -1.990234375}","{""no"": 0.040162585274525396, ""yes"": 0.9598374744458447}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,29,yes,False,"{""no"": -2.423828125, ""yes"": -1.9091796875}","{""no"": 0.3741045031530517, ""yes"": 0.6258956200601646}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,30,belief,False,"{""belief"": -1.6474609375, ""color"": -1.6787109375}","{""belief"": 0.5078118607898338, ""color"": 0.49218813233878156}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,31,water,True,"{""enthusiasm"": -4.935242096583049, ""water"": -3.787109375}","{""enthusiasm"": 0.24083031936097113, ""water"": 0.7591697618455343}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,32,no,True,"{""no"": -2.494140625, ""yes"": -2.744140625}","{""no"": 0.5621765025686553, ""yes"": 0.43782350042481233}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,33,credits,False,"{""credits"": -1.521484375, ""lightning"": -2.880859375}","{""credits"": 0.7956580904201362, ""lightning"": 0.20434189746031403}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,34,innovation,False,"{""innovation"": -1.2666015625, ""light"": -1.4541015625}","{""innovation"": 0.5467381591701916, ""light"": 0.45326185397243934}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,35,no,True,"{""no"": -2.0859375, ""yes"": -2.5078125}","{""no"": 0.6039318499573872, ""yes"": 0.39606817691887264}"
SmolLM3-3B-Instruct,HuggingFaceTB/SmolLM3-3B,zero_shot,no_think,zero_shot_no_think,36,financial,False,"{""financial"": -2.9375, ""physical"": -7.0}","{""financial"": 0.9830851258280098, ""physical"": 0.01691491797221883}"
