Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, silent
False,Is this statement about food or a secret?, secret
False,Is this statement about carpentry or accuracy?, accuracy
True,Is the statement about location or indecision?, location
True,Did Rui agree or disagree to play volleyball?, agree
False,Is this statement about an animal or a secret?, secret
True,Is the acrobat asleep or awake?, awake
True,Are the campers in conflict or working together?, working
True,Is Jane hurt or unharmed?, unharmed
True,Are Jane's keys wet or dry?, wet
True,Did Alex and Jane have a platonic or romantic relationship?, platonic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, sportsman
True,Is she trying to grip an object or reality?, object
True,Is the choice about the object or the success?, object
False,Did the tour guide drive for many hours?, Yes
False,Is the course finished?, Yes
False,Was Jane going through a time of hardship?, Yes
True,Was Jack an owner or a handyman?, owner
False,Is the fish hook in a highly precarious state?, Yes
False,Was the land disputed?, Yes
False,Was there some uncertainty in the form?, Yes
True,Was Jack in trouble?, No
False,Was that paragraph something that absolutely could not be considered?, Yes
True,Was the rabbit constantly jumping?, Yes
False,Are they talking about an animal?, No
True,Is the statement a summary of a very complex idea?, No
False,Did James join a trend?, Yes
False,Does an important decision need to be made?, Yes
False,Is this statement about belief or about color?, belief
True,Was the object lacking water or enthusiasm?, water
False,Was Jane preparing to deal with the consequences of her actions?, Yes
False,Was Luke trying to steal Zeus's lightning or credits?, credits
True,Is the statement about innovation or light?, light
False,Did the apple change the outcome of an important decision?, Yes
False,Was Jane experiencing financial or physical strain?, financial
False,Is the action about the mark or the standard?, standard
False,Is Jaime dead or alive?, dead
True,Does Joe pay the bills all day?, No
True,Did Alice pass an exam or create a scoring system?, create
True,Is the statement describing an emotion or a trend?, emotion
False,Do the two soldiers need to always be together?, Yes
True,Is the cat fighting?, No
True,Is the sentence describing an object’s movement or progress?, movement
True,Does Jack want to see or acquire the Eiffel Tower?, see
False,Is this statement about Jane saying something obvious or leaving?, obvious
False,Is Jane giving Jack a piece of paper or trying to escape from him?, escape
True,Are the aliens receiving a radio frequency or sharing similar opinions?, The aliens are receiving a radio
True,Is the heart valued for its durability or for its kindness?, durability
