model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,0,silent,True,"{""conversation"": -11.328125, ""silent"": -0.00021457672119140625}","{""conversation"": 1.203221621351584e-05, ""silent"": 0.9999879600069962}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,1,food,True,"{""food"": -0.701171875, ""secret"": -1.044921875}","{""food"": 0.5851011336505011, ""secret"": 0.4148988312227009}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,2,accuracy,False,"{""accuracy"": -0.5517578125, ""carpentry"": -2.1348058581352234}","{""accuracy"": 0.8296357484561203, ""carpentry"": 0.1703642244502058}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,3,location,True,"{""indecision"": -2.339844822883606, ""location"": -0.08721923828125}","{""indecision"": 0.0951232387727488, ""location"": 0.9048768085041142}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,4,agreed,True,"{""agree"": -4.4296875, ""agreed"": -3.056640625, ""disagree"": -5.1875, ""disagreed"": -3.0770726203918457}","{""agree"": 0.1077171263052815, ""agreed"": 0.4251982221028689, ""disagree"": 0.05048600101050408, ""disagreed"": 0.4165987255894905}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,5,secret,False,"{""animal"": -2.810546875, ""secret"": -0.10821533203125}","{""animal"": 0.0628359218571981, ""secret"": 0.937164062363529}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,6,asleep,False,"{""asleep"": -0.045867919921875, ""awake"": -4.90625}","{""asleep"": 0.9923120320344206, ""awake"": 0.007687960928380192}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,7,working,True,"{""collaborating"": -5.653361002604167, ""conflict"": -1.1640625, ""together"": -8.59375, ""working"": -0.83544921875}","{""collaborating"": 0.004676868065730748, ""conflict"": 0.41651698923572344, ""together"": 0.00024714995771379163, ""working"": 0.5785590018362639}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,8,hurt,False,"{""hurt"": -0.023834228515625, ""unharmed"": -0.16097219785054526}","{""hurt"": 0.5342308358338909, ""unharmed"": 0.4657691256943164}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,9,wet,True,"{""dry"": -0.1556396484375, ""wet"": -1.0251998901367188e-05}","{""dry"": 0.4611709874724827, ""wet"": 0.5388290053064694}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,10,romantic,False,"{""platonic"": -1.3886719942092896, ""romantic"": -0.37060546875}","{""platonic"": 0.2654041900641621, ""romantic"": 0.734595792059597}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,11,yes,True,"{""no"": -9.453125, ""yes"": -2.0078125}","{""no"": 0.0005838326650274068, ""yes"": 0.9994162833286812}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,12,bad,True,"{""bad"": -0.11395263671875, ""good"": -6.31640625}","{""bad"": 0.9979796803531961, ""good"": 0.0020203674469737314}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,13,sportsman,True,"{""career"": -3.3203125, ""sportsman"": -0.0003833174705505371}","{""career"": 0.034893792230257646, ""sportsman"": 0.9651062521079357}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,14,reality,False,"{""object"": -5.48046875, ""reality"": -0.230712890625}","{""object"": 0.005221392999558562, ""reality"": 0.9947786180020014}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,15,object,True,"{""object"": -1.279296875, ""success"": -2.310546875}","{""object"": 0.7371582111721563, ""success"": 0.26284185468002497}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,16,no,True,"{""no"": -2.5625, ""yes"": -2.859375}","{""no"": 0.5736784476125245, ""yes"": 0.4263216223918792}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,17,yes,False,"{""no"": -5.40234375, ""yes"": -2.16796875}","{""no"": 0.03789242499699615, ""yes"": 0.9621075319175805}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,18,no,True,"{""no"": -3.736328125, ""yes"": -10.546875}","{""no"": 0.9988991125862086, ""yes"": 0.0011008767525979193}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,19,owner,True,"{""handyman"": -5.257956186930339, ""owner"": -1.873046875}","{""handyman"": 0.032770432239812346, ""owner"": 0.967229621557354}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,20,yes,False,"{""no"": -9.09375, ""yes"": -2.552734375}","{""no"": 0.0014409429107259224, ""yes"": 0.9985590835520073}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,21,yes,False,"{""disputed"": -6.344754219055176, ""no"": -5.03125, ""yes"": -2.359375}","{""disputed"": 0.017086752745834446, ""no"": 0.06354877295491768, ""yes"": 0.9193645171181634}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,22,yes,False,"{""no"": -5.625, ""uncertain"": -6.4364013671875, ""yes"": -1.9677734375}","{""no"": 0.02487689179972688, ""uncertain"": 0.011051185715719967, ""yes"": 0.9640719173645728}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,23,no,True,"{""no"": -1.4912109375, ""yes"": -3.7890625}","{""no"": 0.9086989832551301, ""yes"": 0.09130106428195445}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,24,yes,False,"{""no"": -3.6328125, ""yes"": -2.1484375}","{""no"": 0.1847675138365978, ""yes"": 0.8152325034207534}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,25,yes,True,"{""no"": -5.7421875, ""yes"": -2.037109375}","{""no"": 0.024007747211200924, ""yes"": 0.9759923065275149}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,26,yes,True,"{""no"": -8.3984375, ""yes"": -1.9609375}","{""no"": 0.0015978451929544756, ""yes"": 0.9984022044266422}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,27,no,True,"{""no"": -2.421875, ""yes"": -3.015625}","{""no"": 0.6442250483287001, ""yes"": 0.35577486139591485}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,28,yes,False,"{""no"": -8.859375, ""yes"": -2.642578125}","{""no"": 0.0019916526029091527, ""yes"": 0.9980083298539639}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,29,yes,False,"{""no"": -5.59765625, ""yes"": -1.80859375}","{""no"": 0.022116593471192606, ""yes"": 0.9778835010696213}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,30,belief,False,"{""belief"": -0.64990234375, ""color"": -0.97802734375}","{""belief"": 0.5813030649269245, ""color"": 0.41869689083214645}"
Qwen3-4B-Instruct,Qwen/Qwen3-4B,zero_shot,no_think,zero_shot_no_think,31,water,True,"{""enthusiasm"": -2.88671875, ""water"": -1.76171875}","{""enthusiasm"": 0.24508502137530588, ""water"": 0.754915012257653}"
