model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -6.27447509765625, ""silent"": -4.12890625}","{""conversation"": 0.10474603991190218, ""silent"": 0.8952541107542438}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -2.88671875, ""secret"": -6.30859375}","{""food"": 0.9683811432856739, ""secret"": 0.03161876434814056}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -3.875, ""carpentry"": -1.8196868896484375}","{""accuracy"": 0.11351661722230158, ""carpentry"": 0.8864833501679688}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -2.25079345703125, ""location"": -2.970703125}","{""indecision"": 0.6725871320917479, ""location"": 0.3274128784098859}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -4.69140625, ""agreed"": -5.37109375, ""disagree"": -4.991119384765625, ""disagreed"": -4.693359375}","{""agree"": 0.3080852789946423, ""agreed"": 0.1561300204450262, ""disagree"": 0.2283006703356226, ""disagreed"": 0.30748413717775924}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -5.32421875, ""secret"": -3.80859375}","{""animal"": 0.18010667219811816, ""secret"": 0.8198933728399389}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,6,awake,True,"{""asleep"": -4.8125, ""awake"": -2.099609375}","{""asleep"": 0.0622169837459735, ""awake"": 0.9377830554166975}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -5.186767578125, ""conflict"": -3.728515625, ""together"": -5.94921875, ""working"": -5.05078125}","{""collaborating"": 0.14470466487127173, ""conflict"": 0.622004187149785, ""together"": 0.06750783731228537, ""working"": 0.16578324787839221}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -6.400787353515625, ""unharmed"": -1.8982537587483723}","{""hurt"": 0.010959445197772118, ""unharmed"": 0.9890405520217648}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,zero_shot,standard,zero_shot_standard,9,wet,True,"{""dry"": -2.794921875, ""wet"": -2.615234375}","{""dry"": 0.45519863332127225, ""wet"": 0.5448014304301324}"
