model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -2.50390625, ""silent"": -0.33056640625}","{""conversation"": 0.10217026647316681, ""silent"": 0.8978297167093023}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -0.7587890625, ""secret"": -2.962890625}","{""food"": 0.9006171801617925, ""secret"": 0.09938276039314516}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -3.00390625, ""carpentry"": -1.4444656372070312}","{""accuracy"": 0.17372692569921894, ""carpentry"": 0.8262730489964747}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -1.067657470703125, ""location"": -2.2109375}","{""indecision"": 0.7582813449715016, ""location"": 0.24171866645854795}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -1.3193359375, ""agreed"": -2.5859375, ""disagree"": -2.7734375, ""disagreed"": -3.3886311848958335}","{""agree"": 0.6091349159621468, ""agreed"": 0.17164668678431663, ""disagree"": 0.1423001013833894, ""disagreed"": 0.07691837013043676}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -0.6455078125, ""secret"": -2.12890625}","{""animal"": 0.8150853326174464, ""secret"": 0.1849146400112219}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -1.56640625, ""awake"": -0.81640625}","{""asleep"": 0.32082130911852547, ""awake"": 0.6791786964925157}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -4.695149739583333, ""conflict"": -1.716796875, ""together"": -4.5859375, ""working"": -3.435546875}","{""collaborating"": 0.03953375729229713, ""conflict"": 0.7770525231584152, ""together"": 0.0440959226144247, ""working"": 0.13931784055084612}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,8,hurt,False,"{""hurt"": -0.0095062255859375, ""unharmed"": -0.6413288116455078}","{""hurt"": 0.6529026393151186, ""unharmed"": 0.34709741116731846}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.08837890625, ""wet"": -0.0445556640625}","{""dry"": 0.4890459767916664, ""wet"": 0.5109540933662209}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -0.7078642845153809, ""romantic"": -1.306640625}","{""platonic"": 0.645376331231139, ""romantic"": 0.3546237241010368}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -2.638671875, ""yes"": -1.232421875}","{""no"": 0.196826202541255, ""yes"": 0.803173791860692}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -1.3173828125, ""good"": -0.7001953125}","{""bad"": 0.35042141935653387, ""good"": 0.6495786525735636}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -5.13671875, ""sportsman"": -0.075714111328125}","{""career"": 0.006299256397509234, ""sportsman"": 0.9937007364942245}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,14,object,True,"{""object"": -1.4150390625, ""reality"": -3.947265625}","{""object"": 0.9263704189142012, ""reality"": 0.0736296363573792}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -1.236328125, ""success"": -3.267578125}","{""object"": 0.884039245182884, ""success"": 0.1159607134579253}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -3.08203125, ""yes"": -0.6865234375}","{""no"": 0.08351588149109769, ""yes"": 0.9164840677892014}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -3.107421875, ""yes"": -1.544921875}","{""no"": 0.17328820368552403, ""yes"": 0.8267117833660901}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -0.72802734375, ""yes"": -1.822265625}","{""no"": 0.7491789905035663, ""yes"": 0.2508210273499983}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,19,handyman,False,"{""handyman"": -1.0838546752929688, ""owner"": -1.255859375}","{""handyman"": 0.5428954750709003, ""owner"": 0.4571045349546715}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -2.13671875, ""yes"": -0.74609375}","{""no"": 0.19930799192378154, ""yes"": 0.8006919780710798}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,21,yes,False,"{""disputed"": -3.375, ""no"": -1.2412109375, ""yes"": -0.7490234375}","{""disputed"": 0.042983260797524875, ""no"": 0.3630715123657197, ""yes"": 0.5939453186733952}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,22,yes,False,"{""no"": -1.6396484375, ""uncertain"": -3.998046875, ""yes"": -0.93603515625}","{""no"": 0.32096403250422434, ""uncertain"": 0.030354070619902827, ""yes"": 0.6486818685787306}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,23,yes,False,"{""no"": -1.75390625, ""yes"": -1.28515625}","{""no"": 0.38491214456728956, ""yes"": 0.615087855649269}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,24,no,True,"{""no"": -1.2138671875, ""yes"": -1.2451171875}","{""no"": 0.5078118607898338, ""yes"": 0.49218813233878156}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,25,yes,True,"{""no"": -2.646484375, ""yes"": -1.193359375}","{""no"": 0.18952108838976747, ""yes"": 0.8104788960979216}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,26,yes,True,"{""no"": -2.580078125, ""yes"": -0.98583984375}","{""no"": 0.1687884303789666, ""yes"": 0.8312115874023542}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,27,yes,False,"{""no"": -1.646484375, ""yes"": -1.013671875}","{""no"": 0.3468730949325206, ""yes"": 0.6531269314541591}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,28,yes,False,"{""no"": -2.833984375, ""yes"": -1.5771484375}","{""no"": 0.22151904024621924, ""yes"": 0.778480921142152}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,29,yes,False,"{""no"": -2.76953125, ""yes"": -1.6279296875}","{""no"": 0.2420264347148092, ""yes"": 0.7579735700675934}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,30,belief,False,"{""belief"": -0.779296875, ""color"": -1.529296875}","{""belief"": 0.6791786964925157, ""color"": 0.32082130911852547}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,31,water,True,"{""enthusiasm"": -3.08203125, ""water"": -1.2998046875}","{""enthusiasm"": 0.14402842292464244, ""water"": 0.8559716222541645}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,32,yes,False,"{""no"": -5.40234375, ""yes"": -3.80859375}","{""no"": 0.16885693666830912, ""yes"": 0.8311429716957005}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,33,credits,False,"{""credits"": -1.2802734375, ""lightning"": -2.044921875}","{""credits"": 0.6823621451441473, ""lightning"": 0.31763790929836094}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,34,innovation,False,"{""innovation"": -1.103515625, ""light"": -1.525390625}","{""innovation"": 0.603931813960245, ""light"": 0.39606815331137035}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,35,no,True,"{""no"": -1.333984375, ""yes"": -2.115234375}","{""no"": 0.6859494944234491, ""yes"": 0.3140505817562997}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,36,physical,True,"{""financial"": -2.130859375, ""physical"": -1.2080078125}","{""financial"": 0.28437722076086114, ""physical"": 0.7156227634614556}"
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,few_shot,standard,few_shot_standard,37,mark,True,"{""mark"": -0.5400390625, ""standard"": -3.072265625}","{""mark"": 0.9263703636982231, ""standard"": 0.0736296363573792}"
