model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -3.984375, ""silent"": -1.578125}","{""conversation"": 0.08269734531627558, ""silent"": 0.917302686622317}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,1,secret,False,"{""food"": -4.75, ""secret"": -3.294921875}","{""food"": 0.18922124992511577, ""secret"": 0.8107786562530084}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,2,accuracy,False,"{""accuracy"": -1.3876953125, ""carpentry"": -1.9120407104492188}","{""accuracy"": 0.628163277001774, ""carpentry"": 0.3718366816136336}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -1.65142822265625, ""location"": -1.7255859375}","{""indecision"": 0.5185309474485588, ""location"": 0.48146907246830684}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -4.60546875, ""agreed"": -5.32421875, ""disagree"": -5.685302734375, ""disagreed"": -5.5531005859375}","{""agree"": 0.45153436847179174, ""agreed"": 0.22006027599161646, ""disagree"": 0.15336450999957707, ""disagreed"": 0.17504089890887964}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -1.8134765625, ""secret"": -2.0}","{""animal"": 0.5464961480909493, ""secret"": 0.4535038784449943}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -1.9580078125, ""awake"": -1.0205078125}","{""asleep"": 0.28140561963852656, ""awake"": 0.7185944237486072}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -4.281494140625, ""conflict"": -1.140625, ""together"": -6.09375, ""working"": -5.125}","{""collaborating"": 0.04045726525577596, ""conflict"": 0.9355319140521349, ""together"": 0.006606079614710315, ""working"": 0.017404701637540047}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -3.576171875, ""unharmed"": -1.3221947352091472}","{""hurt"": 0.09500696586689718, ""unharmed"": 0.9049930590795001}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.1318359375, ""wet"": -1.0849609375}","{""dry"": 0.48828338208938965, ""wet"": 0.5117165908639297}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -1.0101203918457031, ""romantic"": -4.13671875}","{""platonic"": 0.9579766694264582, ""romantic"": 0.042023337793376365}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -1.6845703125, ""yes"": -1.1064453125}","{""no"": 0.35936416316369485, ""yes"": 0.6406358869347725}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -2.169921875, ""good"": -0.4814453125}","{""bad"": 0.15597628538536057, ""good"": 0.8440236970165498}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -1.6953125, ""sportsman"": -0.900146484375}","{""career"": 0.3110605276290998, ""sportsman"": 0.6889395090419165}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,14,reality,False,"{""object"": -4.14453125, ""reality"": -2.939453125}","{""object"": 0.23057308282936723, ""reality"": 0.7694269364202454}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -1.4638671875, ""success"": -2.74609375}","{""object"": 0.7828285475438486, ""success"": 0.21717145154446452}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -2.61328125, ""yes"": -0.61328125}","{""no"": 0.11920291248514252, ""yes"": 0.8807970600082332}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -2.728515625, ""yes"": -1.2294921875}","{""no"": 0.1825712211522836, ""yes"": 0.8174287861901173}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -1.171875, ""yes"": -1.984375}","{""no"": 0.6926420201866519, ""yes"": 0.30735803330695183}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -1.7037649154663086, ""owner"": -0.32568359375}","{""handyman"": 0.20131733223842646, ""owner"": 0.7986826696446937}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -2.107421875, ""yes"": -0.99755859375}","{""no"": 0.24789639152724618, ""yes"": 0.7521036180499954}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,21,no,True,"{""disputed"": -4.734375, ""no"": -1.359375, ""yes"": -2.03125}","{""disputed"": 0.022148106296962473, ""no"": 0.6472625436393878, ""yes"": 0.33058935913435966}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,22,yes,False,"{""no"": -1.412109375, ""uncertain"": -5.97265625, ""yes"": -0.833984375}","{""no"": 0.35801882705065224, ""uncertain"": 0.003743566248767674, ""yes"": 0.6382375850257429}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,23,yes,False,"{""no"": -2.2890625, ""yes"": -0.92919921875}","{""no"": 0.2042625254240101, ""yes"": 0.7957374836933961}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,24,no,True,"{""no"": -1.8115234375, ""yes"": -2.044921875}","{""no"": 0.5580861490468778, ""yes"": 0.4419138271792818}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,25,yes,True,"{""no"": -2.140625, ""yes"": -1.140625}","{""no"": 0.26894143733631704, ""yes"": 0.7310586220309676}"
Pythia-410m-deduped,EleutherAI/pythia-410m-deduped,few_shot,standard,few_shot_standard,26,no,False,"{""no"": -1.478515625, ""yes"": -1.587890625}","{""no"": 0.5273165068094335, ""yes"": 0.47268346176706105}"
