model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -13.4296875, ""silent"": -0.0017614364624023438}","{""conversation"": 1.4734160387620488e-06, ""silent"": 0.9999985694895486}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -2.623046875, ""secret"": -6.07421875}","{""food"": 0.969266048847716, ""secret"": 0.03073393010442417}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,2,accuracy,False,"{""accuracy"": -0.232177734375, ""carpentry"": -0.9219722747802734}","{""accuracy"": 0.6659211991595252, ""carpentry"": 0.33407877997634855}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -6.304848074913025, ""location"": -0.0191497802734375}","{""indecision"": 0.001859291999265082, ""location"": 0.9981406985479415}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.7392578125, ""agreed"": -4.79296875, ""disagree"": -4.43359375, ""disagreed"": -6.639973958333333}","{""agree"": 0.9569750908472635, ""agreed"": 0.016611024543542036, ""disagree"": 0.023794188391702994, ""disagreed"": 0.002619703744539448}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -0.6806640625, ""secret"": -0.9462890625}","{""animal"": 0.5660185351323219, ""secret"": 0.4339814647549971}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,6,asleep,False,"{""asleep"": -0.228271484375, ""awake"": -4.7265625}","{""asleep"": 0.9889945120415692, ""awake"": 0.01100552948101752}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,7,working,True,"{""collaborating"": -5.255983988444011, ""conflict"": -9.150264739990234, ""together"": -7.47265625, ""working"": -0.034637451171875}","{""collaborating"": 0.005367322747239268, ""conflict"": 0.00010926800166624062, ""together"": 0.0005848831509816409, ""working"": 0.9939385756607881}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,8,hurt,False,"{""hurt"": -0.0022983551025390625, ""unharmed"": -0.2117226521174113}","{""hurt"": 0.552165556618469, ""unharmed"": 0.4478344378929548}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -0.0012912750244140625, ""wet"": -1.9788742065429688e-05}","{""dry"": 0.4996821093651047, ""wet"": 0.5003178523963198}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,10,romantic,False,"{""platonic"": -0.9907659292221069, ""romantic"": -0.278076171875}","{""platonic"": 0.32900477618089136, ""romantic"": 0.6709952280679924}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -1.3603515625, ""yes"": -0.6259765625}","{""no"": 0.3242353775649097, ""yes"": 0.6757645966628892}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,12,bad,True,"{""bad"": -0.1065673828125, ""good"": -5.23046875}","{""bad"": 0.9940825122605104, ""good"": 0.005917527559521421}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,13,sportsman,True,"{""career"": -4.99609375, ""sportsman"": -0.0077877044677734375}","{""career"": 0.0067710438160704, ""sportsman"": 0.9932289381941638}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,14,object,True,"{""object"": -0.61279296875, ""reality"": -2.20703125}","{""object"": 0.8312115874023542, ""reality"": 0.1687884303789666}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -0.00588226318359375, ""success"": -10.9453125}","{""object"": 0.9999822379736036, ""success"": 1.7744262093730533e-05}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -8.109375, ""yes"": -0.2176513671875}","{""no"": 0.0003736849582530172, ""yes"": 0.9996263040155194}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -3.087890625, ""yes"": -0.96240234375}","{""no"": 0.10664407812970439, ""yes"": 0.8933559831708325}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -2.453125, ""yes"": -3.71875}","{""no"": 0.7799928353299859, ""yes"": 0.22000708143320397}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -7.793509324391683, ""owner"": -0.019134521484375}","{""handyman"": 0.0004201935769407911, ""owner"": 0.99957984387968}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -4.0546875, ""yes"": -0.257080078125}","{""no"": 0.02193253943360899, ""yes"": 0.9780674848211868}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,21,no,True,"{""disputed"": -7.474695205688477, ""no"": -1.05859375, ""yes"": -1.99609375}","{""disputed"": 0.001173535760433133, ""no"": 0.7177510515436456, ""yes"": 0.2810753503376808}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,22,yes,False,"{""no"": -3.1640625, ""uncertain"": -3.0039215087890625, ""yes"": -1.0859375}","{""no"": 0.0983946839499963, ""uncertain"": 0.1154835122755963, ""yes"": 0.7861217810071646}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,23,no,True,"{""no"": -0.257080078125, ""yes"": -6.1015625}","{""no"": 0.9971125170844312, ""yes"": 0.0028874718202508147}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,24,yes,False,"{""no"": -1.9892578125, ""yes"": -0.73876953125}","{""no"": 0.22261563442355764, ""yes"": 0.7773843782341904}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,25,yes,True,"{""no"": -11.234375, ""yes"": -0.33447265625}","{""no"": 1.84597021563495e-05, ""yes"": 0.9999815227308265}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,26,yes,True,"{""no"": -5.14453125, ""yes"": -0.14501953125}","{""no"": 0.006696097705302289, ""yes"": 0.9933038544082246}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,27,yes,False,"{""no"": -3.109375, ""yes"": -0.5}","{""no"": 0.06853749001584007, ""yes"": 0.9314625214963489}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,28,yes,False,"{""no"": -7.203125, ""yes"": -0.07763671875}","{""no"": 0.0008036937826385187, ""yes"": 0.9991963384074694}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,29,yes,False,"{""no"": -4.19921875, ""yes"": -3.056640625}","{""no"": 0.2418473313433087, ""yes"": 0.7581526797728749}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,30,color,True,"{""belief"": -3.01171875, ""color"": -0.1683349609375}","{""belief"": 0.05502432989760207, ""color"": 0.9449757099013206}"
Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct,few_shot,standard,few_shot_standard,31,enthusiasm,False,"{""enthusiasm"": -1.4345703125, ""water"": -2.01171875}","{""enthusiasm"": 0.6404110174990563, ""water"": 0.3595890125779317}"
